step 0: train loss 3.9679, val loss 3.9690
iter 0: loss 3.9677, time 2500.68ms, mfu -100.00%
iter 1: loss 3.9633, time 90.49ms, mfu -100.00%
iter 2: loss 3.9271, time 90.41ms, mfu -100.00%
iter 3: loss 3.8859, time 103.74ms, mfu -100.00%
iter 4: loss 3.8420, time 99.27ms, mfu -100.00%
iter 5: loss 3.8040, time 98.42ms, mfu 0.06%
iter 6: loss 3.7526, time 91.97ms, mfu 0.06%
iter 7: loss 3.7152, time 101.61ms, mfu 0.06%
iter 8: loss 3.7021, time 90.39ms, mfu 0.06%
iter 9: loss 3.6522, time 92.92ms, mfu 0.06%
iter 10: loss 3.6269, time 94.55ms, mfu 0.06%
iter 11: loss 3.5774, time 99.58ms, mfu 0.06%
iter 12: loss 3.5428, time 93.95ms, mfu 0.06%
iter 13: loss 3.5122, time 91.18ms, mfu 0.07%
iter 14: loss 3.4784, time 90.61ms, mfu 0.07%
iter 15: loss 3.4466, time 110.77ms, mfu 0.06%
iter 16: loss 3.4234, time 96.13ms, mfu 0.06%
iter 17: loss 3.3911, time 183.02ms, mfu 0.06%
iter 18: loss 3.3395, time 95.19ms, mfu 0.06%
iter 19: loss 3.3359, time 95.17ms, mfu 0.06%
iter 20: loss 3.3154, time 93.94ms, mfu 0.06%
iter 21: loss 3.2871, time 92.25ms, mfu 0.06%
iter 22: loss 3.2620, time 92.98ms, mfu 0.06%
iter 23: loss 3.2437, time 89.33ms, mfu 0.06%
iter 24: loss 3.2434, time 94.65ms, mfu 0.06%
iter 25: loss 3.2117, time 94.33ms, mfu 0.06%
iter 26: loss 3.1623, time 107.65ms, mfu 0.06%
iter 27: loss 3.1415, time 119.54ms, mfu 0.06%
iter 28: loss 3.1337, time 135.43ms, mfu 0.06%
iter 29: loss 3.1126, time 95.65ms, mfu 0.06%
iter 30: loss 3.0921, time 94.76ms, mfu 0.06%
iter 31: loss 3.0735, time 95.87ms, mfu 0.06%
iter 32: loss 3.0358, time 97.39ms, mfu 0.06%
iter 33: loss 3.0238, time 96.07ms, mfu 0.06%
iter 34: loss 3.0252, time 99.45ms, mfu 0.06%
iter 35: loss 2.9876, time 99.03ms, mfu 0.06%
iter 36: loss 2.9739, time 106.47ms, mfu 0.06%
iter 37: loss 2.9560, time 94.81ms, mfu 0.06%
iter 38: loss 2.9544, time 97.02ms, mfu 0.06%
iter 39: loss 2.9245, time 102.62ms, mfu 0.06%
iter 40: loss 2.8855, time 107.37ms, mfu 0.06%
iter 41: loss 2.8689, time 105.18ms, mfu 0.06%
iter 42: loss 2.8819, time 98.71ms, mfu 0.06%
iter 43: loss 2.8489, time 94.86ms, mfu 0.06%
iter 44: loss 2.8268, time 102.60ms, mfu 0.06%
iter 45: loss 2.8359, time 107.19ms, mfu 0.06%
iter 46: loss 2.8321, time 92.19ms, mfu 0.06%
iter 47: loss 2.8329, time 107.55ms, mfu 0.06%
iter 48: loss 2.8102, time 94.97ms, mfu 0.06%
iter 49: loss 2.8164, time 97.20ms, mfu 0.06%
