step 0: train loss 3.9679, val loss 3.9690
iter 0: loss 3.9677, time 2483.88ms, mfu -100.00%
iter 1: loss 3.9633, time 115.76ms, mfu -100.00%
iter 2: loss 3.9271, time 103.08ms, mfu -100.00%
iter 3: loss 3.8859, time 100.95ms, mfu -100.00%
iter 4: loss 3.8420, time 101.47ms, mfu -100.00%
iter 5: loss 3.8040, time 98.52ms, mfu 0.06%
iter 6: loss 3.7526, time 102.56ms, mfu 0.06%
iter 7: loss 3.7152, time 111.23ms, mfu 0.06%
iter 8: loss 3.7021, time 251.57ms, mfu 0.06%
iter 9: loss 3.6522, time 484.24ms, mfu 0.05%
iter 10: loss 3.6269, time 336.57ms, mfu 0.05%
iter 11: loss 3.5774, time 194.38ms, mfu 0.05%
iter 12: loss 3.5428, time 136.52ms, mfu 0.05%
iter 13: loss 3.5122, time 137.31ms, mfu 0.05%
iter 14: loss 3.4784, time 203.84ms, mfu 0.05%
iter 15: loss 3.4466, time 163.58ms, mfu 0.05%
iter 16: loss 3.4234, time 153.43ms, mfu 0.05%
iter 17: loss 3.3911, time 144.13ms, mfu 0.04%
iter 18: loss 3.3395, time 122.59ms, mfu 0.05%
iter 19: loss 3.3359, time 115.59ms, mfu 0.05%
iter 20: loss 3.3154, time 119.23ms, mfu 0.05%
iter 21: loss 3.2871, time 114.27ms, mfu 0.05%
iter 22: loss 3.2620, time 128.92ms, mfu 0.05%
iter 23: loss 3.2437, time 129.49ms, mfu 0.05%
iter 24: loss 3.2434, time 134.06ms, mfu 0.05%
iter 25: loss 3.2117, time 117.20ms, mfu 0.05%
iter 26: loss 3.1623, time 95.68ms, mfu 0.05%
iter 27: loss 3.1415, time 120.92ms, mfu 0.05%
iter 28: loss 3.1337, time 108.76ms, mfu 0.05%
iter 29: loss 3.1126, time 118.49ms, mfu 0.05%
iter 30: loss 3.0921, time 215.08ms, mfu 0.05%
iter 31: loss 3.0735, time 123.65ms, mfu 0.05%
iter 32: loss 3.0358, time 111.25ms, mfu 0.05%
iter 33: loss 3.0238, time 121.01ms, mfu 0.05%
iter 34: loss 3.0252, time 101.00ms, mfu 0.05%
iter 35: loss 2.9876, time 138.64ms, mfu 0.05%
iter 36: loss 2.9739, time 177.76ms, mfu 0.05%
iter 37: loss 2.9560, time 125.26ms, mfu 0.05%
iter 38: loss 2.9544, time 134.21ms, mfu 0.05%
iter 39: loss 2.9245, time 391.52ms, mfu 0.05%
iter 40: loss 2.8855, time 125.23ms, mfu 0.05%
