step 0: train loss 3.9093, val loss 3.9073
iter 0: loss 3.9164, time 2373.00ms, mfu -100.00%
iter 1: loss 3.9115, time 122.14ms, mfu -100.00%
iter 2: loss 3.8974, time 115.86ms, mfu -100.00%
iter 3: loss 3.8883, time 98.83ms, mfu -100.00%
iter 4: loss 3.8565, time 98.39ms, mfu -100.00%
iter 5: loss 3.8533, time 102.37ms, mfu 0.06%
iter 6: loss 3.8244, time 101.65ms, mfu 0.06%
iter 7: loss 3.7898, time 96.21ms, mfu 0.06%
iter 8: loss 3.7760, time 96.60ms, mfu 0.06%
iter 9: loss 3.7548, time 91.45ms, mfu 0.06%
iter 10: loss 3.7261, time 106.95ms, mfu 0.06%
iter 11: loss 3.7315, time 96.69ms, mfu 0.06%
iter 12: loss 3.7231, time 93.94ms, mfu 0.06%
iter 13: loss 3.6940, time 92.93ms, mfu 0.06%
iter 14: loss 3.6909, time 96.52ms, mfu 0.06%
iter 15: loss 3.6785, time 101.82ms, mfu 0.06%
iter 16: loss 3.6625, time 97.44ms, mfu 0.06%
iter 17: loss 3.6525, time 94.69ms, mfu 0.06%
iter 18: loss 3.6309, time 93.91ms, mfu 0.06%
iter 19: loss 3.6331, time 94.24ms, mfu 0.06%
iter 20: loss 3.6140, time 99.48ms, mfu 0.06%
iter 21: loss 3.6116, time 90.28ms, mfu 0.06%
iter 22: loss 3.5962, time 87.89ms, mfu 0.07%
iter 23: loss 3.5844, time 112.75ms, mfu 0.06%
iter 24: loss 3.5648, time 117.80ms, mfu 0.06%
iter 25: loss 3.5623, time 93.84ms, mfu 0.06%
iter 26: loss 3.5573, time 105.11ms, mfu 0.06%
iter 27: loss 3.5524, time 108.64ms, mfu 0.06%
iter 28: loss 3.5395, time 90.50ms, mfu 0.06%
iter 29: loss 3.5522, time 96.39ms, mfu 0.06%
iter 30: loss 3.5328, time 95.39ms, mfu 0.06%
iter 31: loss 3.5288, time 102.82ms, mfu 0.06%
iter 32: loss 3.5208, time 97.97ms, mfu 0.06%
iter 33: loss 3.4959, time 90.72ms, mfu 0.06%
iter 34: loss 3.4963, time 100.86ms, mfu 0.06%
iter 35: loss 3.4938, time 91.88ms, mfu 0.06%
iter 36: loss 3.4890, time 87.85ms, mfu 0.06%
iter 37: loss 3.4814, time 95.57ms, mfu 0.06%
iter 38: loss 3.4824, time 87.23ms, mfu 0.07%
iter 39: loss 3.4756, time 89.00ms, mfu 0.07%
iter 40: loss 3.4760, time 99.02ms, mfu 0.07%
iter 41: loss 3.4635, time 98.16ms, mfu 0.07%
iter 42: loss 3.4594, time 103.50ms, mfu 0.06%
iter 43: loss 3.4441, time 88.76ms, mfu 0.07%
iter 44: loss 3.4536, time 92.47ms, mfu 0.07%
iter 45: loss 3.4548, time 270.05ms, mfu 0.06%
iter 46: loss 3.4331, time 100.19ms, mfu 0.06%
iter 47: loss 3.4228, time 92.44ms, mfu 0.06%
iter 48: loss 3.4294, time 145.35ms, mfu 0.06%
iter 49: loss 3.4198, time 147.02ms, mfu 0.06%
iter 50: loss 3.4214, time 178.67ms, mfu 0.06%
iter 51: loss 3.3963, time 120.10ms, mfu 0.06%
iter 52: loss 3.3989, time 116.59ms, mfu 0.06%
iter 53: loss 3.4104, time 105.48ms, mfu 0.06%
iter 54: loss 3.4172, time 120.55ms, mfu 0.06%
iter 55: loss 3.4072, time 122.52ms, mfu 0.05%
