step 0: train loss 3.9679, val loss 3.9690
iter 0: loss 3.9677, time 2062.30ms, mfu -100.00%
iter 1: loss 3.9633, time 87.21ms, mfu -100.00%
iter 2: loss 3.9271, time 90.98ms, mfu -100.00%
iter 3: loss 3.8859, time 91.38ms, mfu -100.00%
iter 4: loss 3.8420, time 92.37ms, mfu -100.00%
iter 5: loss 3.8040, time 88.46ms, mfu 0.07%
iter 6: loss 3.7526, time 103.08ms, mfu 0.07%
iter 7: loss 3.7152, time 106.16ms, mfu 0.07%
iter 8: loss 3.7021, time 95.63ms, mfu 0.07%
iter 9: loss 3.6522, time 92.71ms, mfu 0.07%
iter 10: loss 3.6269, time 95.44ms, mfu 0.07%
iter 11: loss 3.5774, time 93.80ms, mfu 0.07%
iter 12: loss 3.5428, time 91.84ms, mfu 0.07%
iter 13: loss 3.5122, time 90.71ms, mfu 0.07%
iter 14: loss 3.4784, time 89.59ms, mfu 0.07%
iter 15: loss 3.4466, time 91.02ms, mfu 0.07%
iter 16: loss 3.4234, time 94.12ms, mfu 0.07%
iter 17: loss 3.3911, time 95.16ms, mfu 0.07%
iter 18: loss 3.3395, time 93.33ms, mfu 0.07%
iter 19: loss 3.3359, time 94.98ms, mfu 0.07%
iter 20: loss 3.3154, time 101.44ms, mfu 0.07%
iter 21: loss 3.2871, time 92.09ms, mfu 0.07%
iter 22: loss 3.2620, time 95.30ms, mfu 0.07%
iter 23: loss 3.2437, time 84.73ms, mfu 0.07%
iter 24: loss 3.2434, time 99.09ms, mfu 0.07%
iter 25: loss 3.2117, time 97.16ms, mfu 0.07%
iter 26: loss 3.1623, time 97.43ms, mfu 0.07%
iter 27: loss 3.1415, time 90.62ms, mfu 0.07%
iter 28: loss 3.1337, time 93.75ms, mfu 0.07%
iter 29: loss 3.1126, time 97.03ms, mfu 0.07%
iter 30: loss 3.0921, time 90.70ms, mfu 0.07%
iter 31: loss 3.0735, time 90.69ms, mfu 0.07%
iter 32: loss 3.0358, time 102.34ms, mfu 0.07%
iter 33: loss 3.0238, time 152.89ms, mfu 0.06%
iter 34: loss 3.0252, time 202.89ms, mfu 0.06%
iter 35: loss 2.9876, time 111.80ms, mfu 0.06%
iter 36: loss 2.9739, time 122.32ms, mfu 0.06%
iter 37: loss 2.9560, time 128.38ms, mfu 0.06%
iter 38: loss 2.9544, time 102.14ms, mfu 0.06%
iter 39: loss 2.9245, time 93.20ms, mfu 0.06%
iter 40: loss 2.8855, time 99.71ms, mfu 0.06%
iter 41: loss 2.8689, time 88.14ms, mfu 0.06%
iter 42: loss 2.8819, time 92.68ms, mfu 0.06%
iter 43: loss 2.8489, time 90.61ms, mfu 0.06%
iter 44: loss 2.8268, time 96.10ms, mfu 0.06%
iter 45: loss 2.8359, time 99.85ms, mfu 0.06%
iter 46: loss 2.8321, time 97.66ms, mfu 0.06%
iter 47: loss 2.8329, time 94.11ms, mfu 0.06%
iter 48: loss 2.8102, time 94.47ms, mfu 0.06%
iter 49: loss 2.8164, time 96.13ms, mfu 0.06%
iter 50: loss 2.7808, time 105.95ms, mfu 0.06%
iter 51: loss 2.7971, time 92.67ms, mfu 0.06%
iter 52: loss 2.7730, time 94.45ms, mfu 0.06%
iter 53: loss 2.7144, time 93.63ms, mfu 0.06%
iter 54: loss 2.7375, time 119.44ms, mfu 0.06%
iter 55: loss 2.6986, time 95.85ms, mfu 0.06%
iter 56: loss 2.7034, time 114.98ms, mfu 0.06%
iter 57: loss 2.7286, time 107.05ms, mfu 0.06%
