step 0: train loss 3.9093, val loss 3.9073
iter 0: loss 3.9164, time 2870.97ms, mfu -100.00%
iter 1: loss 3.9115, time 95.58ms, mfu -100.00%
iter 2: loss 3.8974, time 123.08ms, mfu -100.00%
iter 3: loss 3.8883, time 103.85ms, mfu -100.00%
iter 4: loss 3.8565, time 124.95ms, mfu -100.00%
iter 5: loss 3.8533, time 88.56ms, mfu 0.07%
iter 6: loss 3.8244, time 95.69ms, mfu 0.07%
iter 7: loss 3.7898, time 109.13ms, mfu 0.07%
iter 8: loss 3.7760, time 291.58ms, mfu 0.06%
iter 9: loss 3.7548, time 91.11ms, mfu 0.06%
iter 10: loss 3.7261, time 103.65ms, mfu 0.06%
iter 11: loss 3.7315, time 129.66ms, mfu 0.06%
iter 12: loss 3.7231, time 191.49ms, mfu 0.06%
iter 13: loss 3.6940, time 101.16ms, mfu 0.06%
iter 14: loss 3.6909, time 111.73ms, mfu 0.06%
iter 15: loss 3.6785, time 126.13ms, mfu 0.06%
iter 16: loss 3.6625, time 396.95ms, mfu 0.05%
iter 17: loss 3.6525, time 128.40ms, mfu 0.05%
iter 18: loss 3.6309, time 128.60ms, mfu 0.05%
iter 19: loss 3.6331, time 152.02ms, mfu 0.05%
iter 20: loss 3.6140, time 165.39ms, mfu 0.05%
iter 21: loss 3.6116, time 99.90ms, mfu 0.05%
iter 22: loss 3.5962, time 168.22ms, mfu 0.05%
iter 23: loss 3.5844, time 116.93ms, mfu 0.05%
iter 24: loss 3.5648, time 135.51ms, mfu 0.05%
iter 25: loss 3.5623, time 115.89ms, mfu 0.05%
iter 26: loss 3.5573, time 118.17ms, mfu 0.05%
iter 27: loss 3.5524, time 135.85ms, mfu 0.05%
iter 28: loss 3.5395, time 129.26ms, mfu 0.05%
iter 29: loss 3.5522, time 164.49ms, mfu 0.05%
iter 30: loss 3.5328, time 99.71ms, mfu 0.05%
iter 31: loss 3.5288, time 136.80ms, mfu 0.05%
iter 32: loss 3.5208, time 132.38ms, mfu 0.05%
iter 33: loss 3.4959, time 109.71ms, mfu 0.05%
iter 34: loss 3.4963, time 129.38ms, mfu 0.05%
iter 35: loss 3.4938, time 96.39ms, mfu 0.05%
iter 36: loss 3.4890, time 128.14ms, mfu 0.05%
iter 37: loss 3.4814, time 252.83ms, mfu 0.05%
iter 38: loss 3.4824, time 239.99ms, mfu 0.05%
iter 39: loss 3.4756, time 229.91ms, mfu 0.04%
iter 40: loss 3.4760, time 124.70ms, mfu 0.04%
iter 41: loss 3.4635, time 138.55ms, mfu 0.04%
iter 42: loss 3.4594, time 154.24ms, mfu 0.04%
iter 43: loss 3.4441, time 175.09ms, mfu 0.04%
iter 44: loss 3.4536, time 196.46ms, mfu 0.04%
iter 45: loss 3.4548, time 184.84ms, mfu 0.04%
iter 46: loss 3.4331, time 132.05ms, mfu 0.04%
iter 47: loss 3.4228, time 114.44ms, mfu 0.04%
iter 48: loss 3.4294, time 116.38ms, mfu 0.04%
iter 49: loss 3.4198, time 125.21ms, mfu 0.04%
iter 50: loss 3.4214, time 1131.25ms, mfu 0.04%
iter 51: loss 3.3963, time 340.07ms, mfu 0.04%
iter 52: loss 3.3989, time 276.88ms, mfu 0.04%
iter 53: loss 3.4104, time 167.27ms, mfu 0.04%
iter 54: loss 3.4172, time 142.09ms, mfu 0.04%
iter 55: loss 3.4072, time 146.97ms, mfu 0.04%
iter 56: loss 3.4093, time 136.77ms, mfu 0.04%
iter 57: loss 3.3953, time 396.66ms, mfu 0.04%
iter 58: loss 3.4013, time 387.70ms, mfu 0.03%
iter 59: loss 3.4019, time 212.37ms, mfu 0.03%
iter 60: loss 3.4002, time 119.64ms, mfu 0.04%
iter 61: loss 3.3695, time 119.91ms, mfu 0.04%
iter 62: loss 3.3938, time 108.14ms, mfu 0.04%
iter 63: loss 3.3916, time 127.08ms, mfu 0.04%
iter 64: loss 3.3876, time 148.71ms, mfu 0.04%
iter 65: loss 3.3708, time 142.33ms, mfu 0.04%
iter 66: loss 3.3888, time 172.68ms, mfu 0.04%
iter 67: loss 3.3721, time 173.55ms, mfu 0.04%
iter 68: loss 3.3691, time 147.76ms, mfu 0.04%
iter 69: loss 3.3674, time 134.17ms, mfu 0.04%
iter 70: loss 3.3706, time 269.14ms, mfu 0.04%
iter 71: loss 3.3685, time 188.13ms, mfu 0.04%
iter 72: loss 3.3598, time 126.75ms, mfu 0.04%
iter 73: loss 3.3577, time 114.11ms, mfu 0.04%
iter 74: loss 3.3456, time 110.23ms, mfu 0.04%
iter 75: loss 3.3558, time 116.42ms, mfu 0.04%
iter 76: loss 3.3533, time 95.52ms, mfu 0.05%
iter 77: loss 3.3471, time 117.88ms, mfu 0.05%
iter 78: loss 3.3295, time 136.71ms, mfu 0.05%
iter 79: loss 3.3277, time 107.48ms, mfu 0.05%
iter 80: loss 3.3295, time 104.48ms, mfu 0.05%
iter 81: loss 3.3323, time 110.32ms, mfu 0.05%
iter 82: loss 3.3364, time 125.17ms, mfu 0.05%
iter 83: loss 3.3547, time 102.95ms, mfu 0.05%
iter 84: loss 3.3112, time 106.57ms, mfu 0.05%
iter 85: loss 3.3413, time 126.82ms, mfu 0.05%
iter 86: loss 3.3481, time 115.01ms, mfu 0.05%
