67+81->7+1=8,6+8=4c1->148
91+36->1+6=7,9+3=2c1->127
49+39->9+9=8c1,4+3+1=8c0->88
32+28->2+8=0c1,3+2+1=6c0->60
97+17->7+7=4c1,9+1+1=1c1->114
31+51->1+1=2,3+5=8->82
59+64->9+4=3c1,5+6+1=2c1->123
37+96->7+6=3c1,3+9+1=3c1->133
63+87->3+7=0c1,6+8+1=5c1->150
61+71->1+1=2,6+7=3c1->132
79+76->9+6=5c1,7+7+1=5c1->155
26+68->6+8=4c1,2+6+1=9c0->94
38+90->8+0=8,3+9=2c1->128
73+50->3+0=3,7+5=2c1->123
97+73->7+3=0c1,9+7+1=7c1->170
86+87->6+7=3c1,8+8+1=7c1->173
24+55->4+5=9,2+5=7->79
61+61->1+1=2,6+6=2c1->122
49+13->9+3=2c1,4+1+1=6c0->62
90+46->0+6=6,9+4=3c1->136
8+13->8+3=1c1,0+1+1=2c0->21
17+70->7+0=7,1+7=8->87
75+70->5+0=5,7+7=4c1->145
24+59->4+9=3c1,2+5+1=8c0->83
10+31->0+1=1,1+3=4->41
50+81->0+1=1,5+8=3c1->131
90+22->0+2=2,9+2=1c1->112
35+42->5+2=7,3+4=7->77
94+81->4+1=5,9+8=7c1->175
69+58->9+8=7c1,6+5+1=2c1->127
87+95->7+5=2c1,8+9+1=8c1->182
65+56->5+6=1c1,6+5+1=2c1->121
87+43->7+3=0c1,8+4+1=3c1->130
64+56->4+6=0c1,6+5+1=2c1->120
75+76->5+6=1c1,7+7+1=5c1->151
24+58->4+8=2c1,2+5+1=8c0->82
95+92->5+2=7,9+9=8c1->187
36+19->6+9=5c1,3+1+1=5c0->55
93+88->3+8=1c1,9+8+1=8c1->181
77+81->7+1=8,7+8=5c1->158
93+21->3+1=4,9+2=1c1->114
10+16->0+6=6,1+1=2->26
9+97->9+7=6c1,0+9+1=0c1->106
12+54->2+4=6,1+5=6->66
69+55->9+5=4c1,6+5+1=2c1->124
32+32->2+2=4,3+3=6->64
79+69->9+9=8c1,7+6+1=4c1->148
64+49->4+9=3c1,6+4+1=1c1->113
20+1->0+1=1,2+0=2->21
58+21->8+1=9,5+2=7->79
30+8->0+8=8,3+0=3->38
18+71->8+1=9,1+7=8->89
1+20->1+0=1,0+2=2->21
42+76->2+6=8,4+7=1c1->118
70+34->0+4=4,7+3=0c1->104
58+18->8+8=6c1,5+1+1=7c0->76
23+40->3+0=3,2+4=6->63
36+44->6+4=0c1,3+4+1=8c0->80
59+27->9+7=6c1,5+2+1=8c0->86
58+29->8+9=7c1,5+2+1=8c0->87
33+12->3+2=5,3+1=4->45
38+52->8+2=0c1,3+5+1=9c0->90
62+49->2+9=1c1,6+4+1=1c1->111
84+71->4+1=5,8+7=5c1->155
27+45->7+5=2c1,2+4+1=7c0->72
66+1->6+1=7,6+0=6->67
17+8->7+8=5c1,1+0+1=2c0->25
42+29->2+9=1c1,4+2+1=7c0->71
6+21->6+1=7,0+2=2->27
36+63->6+3=9,3+6=9->99
1+68->1+8=9,0+6=6->69
17+31->7+1=8,1+3=4->48
88+49->8+9=7c1,8+4+1=3c1->137
25+1->5+1=6,2+0=2->26
30+46->0+6=6,3+4=7->76
60+9->0+9=9,6+0=6->69
68+14->8+4=2c1,6+1+1=8c0->82
30+82->0+2=2,3+8=1c1->112
80+79->0+9=9,8+7=5c1->159
63+19->3+9=2c1,6+1+1=8c0->82
10+76->0+6=6,1+7=8->86
6+60->6+0=6,0+6=6->66
92+46->2+6=8,9+4=3c1->138
41+80->1+0=1,4+8=2c1->121
58+79->8+9=7c1,5+7+1=3c1->137
9+78->9+8=7c1,0+7+1=8c0->87
70+47->0+7=7,7+4=1c1->117
48+77->8+7=5c1,4+7+1=2c1->125
81+25->1+5=6,8+2=0c1->106
54+42->4+2=6,5+4=9->96
36+92->6+2=8,3+9=2c1->128
