step 0: train loss 2.7215, val loss 2.7129
iter 0: loss 2.7362, time 1097.67ms, mfu -100.00%
iter 1: loss 2.5694, time 28.63ms, mfu -100.00%
iter 2: loss 2.4721, time 27.09ms, mfu -100.00%
iter 3: loss 2.4635, time 23.11ms, mfu -100.00%
iter 4: loss 2.3856, time 24.06ms, mfu -100.00%
iter 5: loss 2.3601, time 22.27ms, mfu 0.06%
iter 6: loss 2.3761, time 23.02ms, mfu 0.06%
iter 7: loss 2.3206, time 26.64ms, mfu 0.06%
iter 8: loss 2.3260, time 25.59ms, mfu 0.05%
iter 9: loss 2.2816, time 24.72ms, mfu 0.05%
iter 10: loss 2.3178, time 22.32ms, mfu 0.05%
iter 11: loss 2.3354, time 25.62ms, mfu 0.05%
iter 12: loss 2.2534, time 22.62ms, mfu 0.05%
iter 13: loss 2.3229, time 28.54ms, mfu 0.05%
iter 14: loss 2.2648, time 26.46ms, mfu 0.05%
iter 15: loss 2.2367, time 30.75ms, mfu 0.05%
iter 16: loss 2.2914, time 41.18ms, mfu 0.05%
iter 17: loss 2.2641, time 32.59ms, mfu 0.05%
iter 18: loss 2.2615, time 24.65ms, mfu 0.05%
iter 19: loss 2.3131, time 23.72ms, mfu 0.05%
iter 20: loss 2.2749, time 27.18ms, mfu 0.05%
iter 21: loss 2.2164, time 27.51ms, mfu 0.05%
iter 22: loss 2.2490, time 84.38ms, mfu 0.05%
iter 23: loss 2.3117, time 23.38ms, mfu 0.05%
iter 24: loss 2.2690, time 21.53ms, mfu 0.05%
iter 25: loss 2.2415, time 27.28ms, mfu 0.05%
iter 26: loss 2.2409, time 25.14ms, mfu 0.05%
iter 27: loss 2.2393, time 24.00ms, mfu 0.05%
iter 28: loss 2.2368, time 24.72ms, mfu 0.05%
iter 29: loss 2.2098, time 20.29ms, mfu 0.05%
iter 30: loss 2.2043, time 24.69ms, mfu 0.05%
iter 31: loss 2.2276, time 25.05ms, mfu 0.05%
iter 32: loss 2.2720, time 23.83ms, mfu 0.05%
iter 33: loss 2.2183, time 23.37ms, mfu 0.05%
iter 34: loss 2.1958, time 21.96ms, mfu 0.05%
iter 35: loss 2.2063, time 22.37ms, mfu 0.05%
iter 36: loss 2.1773, time 23.79ms, mfu 0.05%
iter 37: loss 2.1825, time 26.85ms, mfu 0.05%
iter 38: loss 2.2015, time 24.97ms, mfu 0.05%
iter 39: loss 2.1697, time 24.11ms, mfu 0.05%
iter 40: loss 2.1748, time 24.57ms, mfu 0.05%
