step 0: train loss 2.9443, val loss 2.9473
iter 0: loss 2.9358, time 1206.22ms, mfu -100.00%
iter 1: loss 2.6265, time 43.68ms, mfu -100.00%
iter 2: loss 2.6867, time 47.26ms, mfu -100.00%
iter 3: loss 2.4878, time 58.12ms, mfu -100.00%
iter 4: loss 2.4997, time 72.57ms, mfu -100.00%
iter 5: loss 2.3631, time 57.30ms, mfu 0.05%
iter 6: loss 2.3928, time 59.21ms, mfu 0.05%
iter 7: loss 2.2618, time 81.41ms, mfu 0.05%
iter 8: loss 2.2332, time 65.74ms, mfu 0.05%
iter 9: loss 2.2406, time 81.85ms, mfu 0.04%
iter 10: loss 2.2310, time 223.74ms, mfu 0.04%
iter 11: loss 2.2081, time 68.82ms, mfu 0.04%
iter 12: loss 2.1574, time 129.12ms, mfu 0.04%
iter 13: loss 2.1747, time 67.63ms, mfu 0.04%
iter 14: loss 2.1741, time 62.79ms, mfu 0.04%
iter 15: loss 2.1629, time 131.49ms, mfu 0.04%
iter 16: loss 2.1552, time 62.07ms, mfu 0.04%
iter 17: loss 2.1520, time 80.82ms, mfu 0.04%
iter 18: loss 2.0957, time 59.74ms, mfu 0.04%
iter 19: loss 2.0996, time 125.98ms, mfu 0.04%
iter 20: loss 2.1263, time 61.18ms, mfu 0.04%
iter 21: loss 2.0480, time 47.40ms, mfu 0.04%
iter 22: loss 2.0520, time 57.28ms, mfu 0.04%
iter 23: loss 2.1194, time 50.53ms, mfu 0.04%
iter 24: loss 2.1222, time 45.55ms, mfu 0.04%
iter 25: loss 2.1013, time 48.69ms, mfu 0.04%
iter 26: loss 2.1007, time 45.36ms, mfu 0.05%
iter 27: loss 2.0546, time 52.01ms, mfu 0.05%
iter 28: loss 2.1157, time 47.96ms, mfu 0.05%
iter 29: loss 2.1612, time 45.79ms, mfu 0.05%
iter 30: loss 2.0625, time 43.26ms, mfu 0.05%
iter 31: loss 2.0767, time 49.74ms, mfu 0.05%
iter 32: loss 2.0930, time 47.10ms, mfu 0.05%
iter 33: loss 2.0598, time 47.87ms, mfu 0.05%
iter 34: loss 2.0314, time 50.81ms, mfu 0.05%
iter 35: loss 2.0575, time 64.33ms, mfu 0.05%
iter 36: loss 2.0337, time 63.03ms, mfu 0.05%
iter 37: loss 2.0338, time 54.91ms, mfu 0.05%
iter 38: loss 2.0103, time 57.72ms, mfu 0.05%
iter 39: loss 2.0265, time 82.47ms, mfu 0.05%
iter 40: loss 2.0080, time 87.29ms, mfu 0.05%
iter 41: loss 1.9644, time 61.91ms, mfu 0.05%
iter 42: loss 2.0394, time 63.57ms, mfu 0.05%
iter 43: loss 1.9934, time 59.69ms, mfu 0.05%
iter 44: loss 1.9673, time 51.25ms, mfu 0.05%
iter 45: loss 2.0338, time 49.12ms, mfu 0.05%
iter 46: loss 1.9759, time 55.16ms, mfu 0.05%
