step 0: train loss 2.9406, val loss 2.9344
iter 0: loss 2.9414, time 1118.32ms, mfu -100.00%
iter 1: loss 2.6401, time 48.56ms, mfu -100.00%
iter 2: loss 2.6836, time 55.55ms, mfu -100.00%
iter 3: loss 2.5373, time 60.65ms, mfu -100.00%
iter 4: loss 2.5297, time 52.80ms, mfu -100.00%
iter 5: loss 2.3843, time 62.84ms, mfu 0.04%
iter 6: loss 2.3313, time 58.03ms, mfu 0.04%
iter 7: loss 2.2979, time 47.52ms, mfu 0.05%
iter 8: loss 2.3121, time 45.20ms, mfu 0.05%
iter 9: loss 2.2578, time 48.51ms, mfu 0.05%
iter 10: loss 2.2519, time 49.10ms, mfu 0.05%
iter 11: loss 2.2002, time 46.72ms, mfu 0.05%
iter 12: loss 2.2791, time 55.94ms, mfu 0.05%
iter 13: loss 2.2321, time 48.08ms, mfu 0.05%
iter 14: loss 2.1830, time 50.15ms, mfu 0.05%
iter 15: loss 2.2141, time 48.09ms, mfu 0.05%
iter 16: loss 2.2341, time 48.84ms, mfu 0.05%
iter 17: loss 2.2136, time 55.80ms, mfu 0.05%
iter 18: loss 2.1906, time 64.85ms, mfu 0.05%
iter 19: loss 2.1688, time 47.17ms, mfu 0.05%
iter 20: loss 2.1909, time 49.55ms, mfu 0.05%
iter 21: loss 2.1968, time 49.53ms, mfu 0.05%
iter 22: loss 2.1963, time 50.32ms, mfu 0.05%
iter 23: loss 2.1447, time 63.50ms, mfu 0.05%
iter 24: loss 2.1492, time 65.17ms, mfu 0.05%
iter 25: loss 2.1258, time 80.31ms, mfu 0.05%
iter 26: loss 2.1197, time 60.77ms, mfu 0.05%
iter 27: loss 2.1679, time 93.69ms, mfu 0.05%
iter 28: loss 2.1416, time 84.34ms, mfu 0.04%
iter 29: loss 2.1189, time 68.65ms, mfu 0.04%
iter 30: loss 2.1859, time 72.87ms, mfu 0.04%
iter 31: loss 2.1071, time 164.10ms, mfu 0.04%
iter 32: loss 2.1609, time 59.68ms, mfu 0.04%
iter 33: loss 2.1256, time 51.12ms, mfu 0.04%
