step 0: train loss 2.9418, val loss 2.9427
iter 0: loss 2.9456, time 2543.29ms, mfu -100.00%
iter 1: loss 2.6820, time 50.60ms, mfu -100.00%
iter 2: loss 2.7086, time 43.14ms, mfu -100.00%
iter 3: loss 2.5731, time 62.24ms, mfu -100.00%
iter 4: loss 2.5251, time 61.13ms, mfu -100.00%
iter 5: loss 2.4557, time 60.65ms, mfu 0.04%
iter 6: loss 2.3901, time 44.19ms, mfu 0.05%
iter 7: loss 2.3487, time 67.27ms, mfu 0.05%
iter 8: loss 2.3132, time 47.82ms, mfu 0.05%
iter 9: loss 2.2754, time 47.49ms, mfu 0.05%
iter 10: loss 2.2595, time 46.64ms, mfu 0.05%
iter 11: loss 2.2809, time 54.60ms, mfu 0.05%
iter 12: loss 2.2289, time 44.90ms, mfu 0.05%
iter 13: loss 2.2510, time 55.27ms, mfu 0.05%
iter 14: loss 2.2153, time 52.05ms, mfu 0.05%
iter 15: loss 2.2306, time 107.68ms, mfu 0.05%
iter 16: loss 2.1822, time 87.25ms, mfu 0.05%
iter 17: loss 2.1851, time 80.54ms, mfu 0.04%
iter 18: loss 2.1744, time 49.06ms, mfu 0.05%
iter 19: loss 2.1783, time 52.73ms, mfu 0.05%
iter 20: loss 2.1623, time 51.72ms, mfu 0.05%
iter 21: loss 2.1742, time 47.96ms, mfu 0.05%
iter 22: loss 2.1616, time 54.52ms, mfu 0.05%
iter 23: loss 2.1815, time 47.32ms, mfu 0.05%
iter 24: loss 2.1598, time 57.14ms, mfu 0.05%
iter 25: loss 2.1567, time 48.17ms, mfu 0.05%
iter 26: loss 2.1535, time 46.96ms, mfu 0.05%
iter 27: loss 2.1550, time 45.91ms, mfu 0.05%
iter 28: loss 2.1237, time 51.83ms, mfu 0.05%
iter 29: loss 2.1207, time 50.95ms, mfu 0.05%
iter 30: loss 2.1075, time 46.57ms, mfu 0.05%
iter 31: loss 2.1346, time 53.63ms, mfu 0.05%
iter 32: loss 2.1041, time 49.05ms, mfu 0.05%
iter 33: loss 2.1416, time 46.62ms, mfu 0.05%
iter 34: loss 2.1137, time 49.96ms, mfu 0.05%
iter 35: loss 2.1353, time 46.12ms, mfu 0.05%
iter 36: loss 2.1033, time 58.42ms, mfu 0.05%
iter 37: loss 2.0983, time 58.22ms, mfu 0.05%
iter 38: loss 2.1359, time 45.53ms, mfu 0.05%
iter 39: loss 2.1083, time 48.47ms, mfu 0.05%
iter 40: loss 2.0784, time 51.73ms, mfu 0.05%
iter 41: loss 2.0856, time 47.08ms, mfu 0.05%
iter 42: loss 2.0488, time 52.34ms, mfu 0.05%
iter 43: loss 2.0810, time 55.14ms, mfu 0.05%
iter 44: loss 2.0423, time 48.78ms, mfu 0.05%
iter 45: loss 2.0640, time 51.97ms, mfu 0.05%
iter 46: loss 2.0728, time 44.64ms, mfu 0.05%
iter 47: loss 2.1027, time 44.48ms, mfu 0.05%
iter 48: loss 2.0883, time 46.62ms, mfu 0.06%
iter 49: loss 2.0201, time 48.99ms, mfu 0.06%
iter 50: loss 2.0241, time 43.85ms, mfu 0.06%
iter 51: loss 2.0163, time 53.21ms, mfu 0.06%
iter 52: loss 2.0552, time 63.17ms, mfu 0.05%
iter 53: loss 2.0002, time 88.90ms, mfu 0.05%
iter 54: loss 2.0202, time 44.31ms, mfu 0.05%
iter 55: loss 1.9932, time 48.25ms, mfu 0.05%
iter 56: loss 1.9774, time 48.07ms, mfu 0.05%
iter 57: loss 2.0448, time 50.40ms, mfu 0.05%
iter 58: loss 1.9663, time 49.54ms, mfu 0.05%
iter 59: loss 1.9801, time 51.62ms, mfu 0.05%
iter 60: loss 1.9735, time 49.46ms, mfu 0.05%
iter 61: loss 1.9712, time 55.53ms, mfu 0.05%
iter 62: loss 1.9605, time 46.10ms, mfu 0.05%
iter 63: loss 1.9563, time 53.53ms, mfu 0.05%
iter 64: loss 1.9114, time 46.64ms, mfu 0.05%
iter 65: loss 1.9281, time 46.17ms, mfu 0.05%
iter 66: loss 1.9271, time 51.75ms, mfu 0.05%
iter 67: loss 1.8970, time 49.85ms, mfu 0.05%
iter 68: loss 1.8798, time 54.54ms, mfu 0.05%
iter 69: loss 1.8985, time 46.62ms, mfu 0.05%
iter 70: loss 1.8809, time 47.48ms, mfu 0.05%
iter 71: loss 1.8957, time 44.77ms, mfu 0.06%
iter 72: loss 1.8412, time 48.93ms, mfu 0.06%
iter 73: loss 1.8386, time 47.76ms, mfu 0.06%
iter 74: loss 1.8362, time 51.49ms, mfu 0.06%
iter 75: loss 1.8333, time 59.73ms, mfu 0.05%
iter 76: loss 1.8059, time 50.89ms, mfu 0.05%
iter 77: loss 1.8767, time 44.40ms, mfu 0.05%
iter 78: loss 1.7836, time 81.52ms, mfu 0.05%
iter 79: loss 1.8061, time 61.99ms, mfu 0.05%
iter 80: loss 1.8245, time 50.86ms, mfu 0.05%
iter 81: loss 1.7751, time 49.09ms, mfu 0.05%
iter 82: loss 1.7746, time 52.67ms, mfu 0.05%
iter 83: loss 1.7330, time 56.27ms, mfu 0.05%
iter 84: loss 1.8267, time 56.72ms, mfu 0.05%
iter 85: loss 1.7475, time 48.26ms, mfu 0.05%
iter 86: loss 1.7102, time 53.69ms, mfu 0.05%
iter 87: loss 1.7658, time 47.07ms, mfu 0.05%
iter 88: loss 1.7110, time 55.43ms, mfu 0.05%
iter 89: loss 1.7107, time 55.31ms, mfu 0.05%
iter 90: loss 1.7076, time 49.87ms, mfu 0.05%
iter 91: loss 1.7208, time 51.98ms, mfu 0.05%
iter 92: loss 1.7748, time 49.52ms, mfu 0.05%
iter 93: loss 1.6623, time 63.87ms, mfu 0.05%
iter 94: loss 1.6868, time 116.53ms, mfu 0.05%
iter 95: loss 1.6560, time 50.53ms, mfu 0.05%
iter 96: loss 1.6396, time 52.53ms, mfu 0.05%
iter 97: loss 1.6203, time 52.71ms, mfu 0.05%
iter 98: loss 1.6347, time 48.74ms, mfu 0.05%
iter 99: loss 1.6058, time 47.08ms, mfu 0.05%
step 100: train loss 1.5898, val loss 1.5997
saving checkpoint to out/with_scratchpad
iter 100: loss 1.5793, time 926.62ms, mfu 0.05%
iter 101: loss 1.5631, time 63.72ms, mfu 0.05%
iter 102: loss 1.6000, time 59.20ms, mfu 0.05%
iter 103: loss 1.5807, time 57.51ms, mfu 0.05%
iter 104: loss 1.6083, time 55.53ms, mfu 0.05%
iter 105: loss 1.6145, time 48.72ms, mfu 0.05%
iter 106: loss 1.5923, time 46.49ms, mfu 0.05%
iter 107: loss 1.5663, time 49.73ms, mfu 0.05%
iter 108: loss 1.5418, time 51.82ms, mfu 0.05%
iter 109: loss 1.5720, time 60.02ms, mfu 0.05%
iter 110: loss 1.5415, time 47.07ms, mfu 0.05%
iter 111: loss 1.5688, time 50.23ms, mfu 0.05%
iter 112: loss 1.6062, time 44.59ms, mfu 0.05%
iter 113: loss 1.5168, time 47.86ms, mfu 0.05%
iter 114: loss 1.5417, time 46.26ms, mfu 0.05%
iter 115: loss 1.5471, time 44.34ms, mfu 0.05%
