step 0: train loss 2.7536, val loss 2.7527
iter 0: loss 2.7385, time 1443.74ms, mfu -100.00%
iter 1: loss 2.3908, time 38.92ms, mfu -100.00%
iter 2: loss 2.2858, time 35.28ms, mfu -100.00%
iter 3: loss 2.1119, time 40.46ms, mfu -100.00%
iter 4: loss 1.9899, time 35.14ms, mfu -100.00%
iter 5: loss 1.9520, time 45.57ms, mfu 0.03%
iter 6: loss 1.8458, time 45.71ms, mfu 0.03%
iter 7: loss 1.8051, time 39.64ms, mfu 0.03%
iter 8: loss 1.7655, time 31.09ms, mfu 0.03%
iter 9: loss 1.7276, time 31.06ms, mfu 0.03%
iter 10: loss 1.7066, time 34.24ms, mfu 0.03%
iter 11: loss 1.6923, time 29.05ms, mfu 0.03%
iter 12: loss 1.6645, time 42.18ms, mfu 0.03%
iter 13: loss 1.6442, time 54.88ms, mfu 0.03%
iter 14: loss 1.6141, time 33.26ms, mfu 0.03%
iter 15: loss 1.5851, time 36.45ms, mfu 0.03%
iter 16: loss 1.5657, time 44.50ms, mfu 0.03%
iter 17: loss 1.5771, time 37.30ms, mfu 0.03%
iter 18: loss 1.5655, time 44.15ms, mfu 0.03%
iter 19: loss 1.5276, time 43.37ms, mfu 0.03%
iter 20: loss 1.5526, time 37.40ms, mfu 0.03%
iter 21: loss 1.5379, time 36.93ms, mfu 0.03%
iter 22: loss 1.5301, time 31.49ms, mfu 0.03%
iter 23: loss 1.5153, time 32.00ms, mfu 0.03%
iter 24: loss 1.5063, time 30.75ms, mfu 0.03%
iter 25: loss 1.4969, time 60.32ms, mfu 0.03%
iter 26: loss 1.4994, time 58.23ms, mfu 0.03%
iter 27: loss 1.4914, time 36.17ms, mfu 0.03%
iter 28: loss 1.4785, time 31.74ms, mfu 0.03%
iter 29: loss 1.5077, time 42.76ms, mfu 0.03%
iter 30: loss 1.4513, time 61.83ms, mfu 0.03%
iter 31: loss 1.5547, time 71.75ms, mfu 0.03%
iter 32: loss 1.4995, time 47.85ms, mfu 0.03%
iter 33: loss 1.4104, time 31.93ms, mfu 0.03%
iter 34: loss 1.4380, time 36.68ms, mfu 0.03%
iter 35: loss 1.3962, time 47.20ms, mfu 0.03%
iter 36: loss 1.3904, time 131.27ms, mfu 0.03%
iter 37: loss 1.3552, time 56.98ms, mfu 0.03%
iter 38: loss 1.3076, time 33.71ms, mfu 0.03%
iter 39: loss 1.3566, time 45.33ms, mfu 0.03%
iter 40: loss 1.3196, time 65.76ms, mfu 0.03%
iter 41: loss 1.3062, time 34.83ms, mfu 0.03%
iter 42: loss 1.3284, time 32.32ms, mfu 0.03%
iter 43: loss 1.3141, time 33.86ms, mfu 0.03%
iter 44: loss 1.4897, time 32.50ms, mfu 0.03%
iter 45: loss 1.3756, time 53.77ms, mfu 0.03%
iter 46: loss 1.3131, time 59.34ms, mfu 0.03%
iter 47: loss 1.3139, time 40.74ms, mfu 0.03%
iter 48: loss 1.2829, time 32.94ms, mfu 0.03%
iter 49: loss 1.2708, time 32.64ms, mfu 0.03%
iter 50: loss 1.2859, time 36.40ms, mfu 0.03%
iter 51: loss 1.2744, time 47.46ms, mfu 0.03%
iter 52: loss 1.2066, time 38.68ms, mfu 0.03%
iter 53: loss 1.3741, time 39.96ms, mfu 0.03%
iter 54: loss 1.3357, time 32.59ms, mfu 0.03%
iter 55: loss 1.2130, time 30.30ms, mfu 0.03%
iter 56: loss 1.2573, time 30.60ms, mfu 0.03%
iter 57: loss 1.2156, time 28.94ms, mfu 0.03%
iter 58: loss 1.1876, time 39.36ms, mfu 0.03%
iter 59: loss 1.2235, time 42.48ms, mfu 0.03%
iter 60: loss 1.1730, time 35.80ms, mfu 0.03%
iter 61: loss 1.1655, time 35.41ms, mfu 0.03%
iter 62: loss 1.1753, time 34.11ms, mfu 0.03%
iter 63: loss 1.1916, time 30.39ms, mfu 0.04%
iter 64: loss 1.2014, time 30.38ms, mfu 0.04%
iter 65: loss 1.1541, time 38.21ms, mfu 0.04%
iter 66: loss 1.1637, time 42.47ms, mfu 0.04%
iter 67: loss 1.1716, time 35.69ms, mfu 0.04%
iter 68: loss 1.1543, time 34.69ms, mfu 0.04%
iter 69: loss 1.1485, time 27.55ms, mfu 0.04%
iter 70: loss 1.1422, time 25.58ms, mfu 0.04%
iter 71: loss 1.1261, time 28.71ms, mfu 0.04%
iter 72: loss 1.1378, time 33.72ms, mfu 0.04%
iter 73: loss 1.1773, time 34.27ms, mfu 0.04%
iter 74: loss 1.1130, time 36.58ms, mfu 0.04%
iter 75: loss 1.1718, time 35.60ms, mfu 0.04%
iter 76: loss 1.1479, time 34.06ms, mfu 0.04%
iter 77: loss 1.1864, time 29.92ms, mfu 0.04%
iter 78: loss 1.1400, time 33.62ms, mfu 0.04%
iter 79: loss 1.0824, time 29.60ms, mfu 0.04%
iter 80: loss 1.1390, time 30.61ms, mfu 0.04%
iter 81: loss 1.1443, time 50.21ms, mfu 0.04%
iter 82: loss 1.0872, time 40.43ms, mfu 0.04%
iter 83: loss 1.0857, time 31.30ms, mfu 0.04%
iter 84: loss 1.1491, time 27.23ms, mfu 0.04%
iter 85: loss 1.0730, time 29.87ms, mfu 0.04%
iter 86: loss 1.0850, time 28.03ms, mfu 0.04%
iter 87: loss 1.1248, time 31.46ms, mfu 0.04%
iter 88: loss 1.0748, time 61.55ms, mfu 0.04%
iter 89: loss 1.0698, time 59.49ms, mfu 0.04%
iter 90: loss 1.0767, time 48.22ms, mfu 0.03%
iter 91: loss 1.0730, time 43.67ms, mfu 0.03%
iter 92: loss 1.0643, time 29.28ms, mfu 0.04%
iter 93: loss 1.0455, time 39.31ms, mfu 0.03%
iter 94: loss 1.0602, time 41.97ms, mfu 0.03%
iter 95: loss 1.0602, time 35.64ms, mfu 0.03%
iter 96: loss 1.0584, time 30.87ms, mfu 0.04%
iter 97: loss 1.0496, time 34.33ms, mfu 0.04%
iter 98: loss 1.0632, time 38.36ms, mfu 0.04%
iter 99: loss 1.0380, time 32.17ms, mfu 0.04%
step 100: train loss 1.0536, val loss 1.0507
saving checkpoint to out/without_scratchpad
iter 100: loss 1.0434, time 845.43ms, mfu 0.03%
iter 101: loss 1.0442, time 78.76ms, mfu 0.03%
iter 102: loss 1.0495, time 67.56ms, mfu 0.03%
iter 103: loss 1.0513, time 41.81ms, mfu 0.03%
iter 104: loss 1.0619, time 49.34ms, mfu 0.03%
iter 105: loss 1.0554, time 41.20ms, mfu 0.03%
iter 106: loss 1.0750, time 33.37ms, mfu 0.03%
iter 107: loss 1.0608, time 36.46ms, mfu 0.03%
iter 108: loss 1.0488, time 38.56ms, mfu 0.03%
iter 109: loss 1.0558, time 40.32ms, mfu 0.03%
iter 110: loss 1.0497, time 52.22ms, mfu 0.03%
iter 111: loss 1.0435, time 65.39ms, mfu 0.03%
iter 112: loss 1.0424, time 42.30ms, mfu 0.03%
iter 113: loss 1.0517, time 33.92ms, mfu 0.03%
iter 114: loss 1.0271, time 26.28ms, mfu 0.03%
iter 115: loss 1.0309, time 32.66ms, mfu 0.03%
iter 116: loss 1.0365, time 65.43ms, mfu 0.03%
iter 117: loss 1.0413, time 447.25ms, mfu 0.03%
iter 118: loss 1.0481, time 106.52ms, mfu 0.03%
iter 119: loss 1.0374, time 51.06ms, mfu 0.03%
iter 120: loss 1.0548, time 41.44ms, mfu 0.03%
iter 121: loss 1.0417, time 45.47ms, mfu 0.03%
iter 122: loss 1.0399, time 42.05ms, mfu 0.03%
iter 123: loss 1.0468, time 56.24ms, mfu 0.03%
iter 124: loss 1.0460, time 121.57ms, mfu 0.03%
iter 125: loss 1.0502, time 270.64ms, mfu 0.02%
iter 126: loss 1.0189, time 61.26ms, mfu 0.02%
iter 127: loss 1.0188, time 105.68ms, mfu 0.02%
iter 128: loss 1.0226, time 69.71ms, mfu 0.02%
iter 129: loss 1.0364, time 110.33ms, mfu 0.02%
iter 130: loss 1.0185, time 229.96ms, mfu 0.02%
iter 131: loss 1.0118, time 90.56ms, mfu 0.02%
iter 132: loss 1.0432, time 86.40ms, mfu 0.02%
iter 133: loss 1.0432, time 72.67ms, mfu 0.02%
iter 134: loss 1.0040, time 47.76ms, mfu 0.02%
iter 135: loss 1.0306, time 113.44ms, mfu 0.02%
iter 136: loss 1.0316, time 126.77ms, mfu 0.02%
iter 137: loss 1.0221, time 91.55ms, mfu 0.02%
iter 138: loss 1.0226, time 43.55ms, mfu 0.02%
iter 139: loss 1.0166, time 35.67ms, mfu 0.02%
iter 140: loss 1.0304, time 40.15ms, mfu 0.02%
iter 141: loss 1.0205, time 38.89ms, mfu 0.02%
iter 142: loss 1.0422, time 40.98ms, mfu 0.02%
iter 143: loss 1.0498, time 56.37ms, mfu 0.02%
iter 144: loss 1.0274, time 42.25ms, mfu 0.02%
iter 145: loss 1.0165, time 38.16ms, mfu 0.02%
iter 146: loss 1.0130, time 33.43ms, mfu 0.03%
iter 147: loss 1.0098, time 36.00ms, mfu 0.03%
iter 148: loss 1.0068, time 41.30ms, mfu 0.03%
iter 149: loss 1.0177, time 51.54ms, mfu 0.03%
iter 150: loss 1.0354, time 34.99ms, mfu 0.03%
iter 151: loss 1.0420, time 30.88ms, mfu 0.03%
iter 152: loss 1.0262, time 30.07ms, mfu 0.03%
iter 153: loss 1.0228, time 29.58ms, mfu 0.03%
iter 154: loss 1.0581, time 31.07ms, mfu 0.03%
iter 155: loss 1.0396, time 31.77ms, mfu 0.03%
iter 156: loss 1.0312, time 31.18ms, mfu 0.03%
iter 157: loss 1.0301, time 34.85ms, mfu 0.03%
iter 158: loss 0.9893, time 34.91ms, mfu 0.03%
iter 159: loss 1.0184, time 39.74ms, mfu 0.03%
iter 160: loss 0.9960, time 35.78ms, mfu 0.03%
iter 161: loss 1.0002, time 36.27ms, mfu 0.03%
iter 162: loss 1.0189, time 35.84ms, mfu 0.03%
iter 163: loss 1.0196, time 42.96ms, mfu 0.03%
iter 164: loss 1.0144, time 44.10ms, mfu 0.03%
iter 165: loss 1.0044, time 36.04ms, mfu 0.03%
iter 166: loss 1.0024, time 40.75ms, mfu 0.03%
iter 167: loss 0.9952, time 42.12ms, mfu 0.03%
iter 168: loss 1.0140, time 29.60ms, mfu 0.03%
iter 169: loss 1.0275, time 40.05ms, mfu 0.03%
iter 170: loss 1.0075, time 48.22ms, mfu 0.03%
iter 171: loss 1.0313, time 66.01ms, mfu 0.03%
iter 172: loss 1.0132, time 48.29ms, mfu 0.03%
