step 0: train loss 2.9196, val loss 2.9150
iter 0: loss 2.9179, time 1164.67ms, mfu -100.00%
iter 1: loss 2.5530, time 47.02ms, mfu -100.00%
iter 2: loss 2.6192, time 44.12ms, mfu -100.00%
iter 3: loss 2.2426, time 48.27ms, mfu -100.00%
iter 4: loss 2.1187, time 45.52ms, mfu -100.00%
iter 5: loss 2.0345, time 43.77ms, mfu 0.06%
iter 6: loss 1.9596, time 40.67ms, mfu 0.06%
iter 7: loss 1.9284, time 44.11ms, mfu 0.06%
iter 8: loss 1.8881, time 44.60ms, mfu 0.06%
iter 9: loss 1.8575, time 44.22ms, mfu 0.06%
iter 10: loss 1.8207, time 42.46ms, mfu 0.06%
iter 11: loss 1.8129, time 42.40ms, mfu 0.06%
iter 12: loss 1.7908, time 42.53ms, mfu 0.06%
iter 13: loss 1.7638, time 42.38ms, mfu 0.06%
iter 14: loss 1.7464, time 48.81ms, mfu 0.06%
iter 15: loss 1.7305, time 61.60ms, mfu 0.06%
iter 16: loss 1.7314, time 92.49ms, mfu 0.06%
iter 17: loss 1.7061, time 81.15ms, mfu 0.05%
iter 18: loss 1.6964, time 51.50ms, mfu 0.05%
iter 19: loss 1.6969, time 45.04ms, mfu 0.06%
iter 20: loss 1.6820, time 42.82ms, mfu 0.06%
iter 21: loss 1.6668, time 45.64ms, mfu 0.06%
iter 22: loss 1.6745, time 46.01ms, mfu 0.06%
iter 23: loss 1.6724, time 42.22ms, mfu 0.06%
iter 24: loss 1.6490, time 50.49ms, mfu 0.06%
iter 25: loss 1.6460, time 46.17ms, mfu 0.06%
iter 26: loss 1.6298, time 48.13ms, mfu 0.06%
iter 27: loss 1.6374, time 44.46ms, mfu 0.06%
iter 28: loss 1.6358, time 45.59ms, mfu 0.06%
iter 29: loss 1.6234, time 46.69ms, mfu 0.06%
iter 30: loss 1.6101, time 42.22ms, mfu 0.06%
iter 31: loss 1.6413, time 46.72ms, mfu 0.06%
iter 32: loss 1.6016, time 47.15ms, mfu 0.06%
iter 33: loss 1.5869, time 46.52ms, mfu 0.06%
iter 34: loss 1.6693, time 45.55ms, mfu 0.06%
iter 35: loss 1.5949, time 45.59ms, mfu 0.06%
iter 36: loss 1.6295, time 51.43ms, mfu 0.06%
iter 37: loss 1.6114, time 46.21ms, mfu 0.06%
iter 38: loss 1.5766, time 44.35ms, mfu 0.06%
iter 39: loss 1.5582, time 54.25ms, mfu 0.06%
iter 40: loss 1.5567, time 46.36ms, mfu 0.06%
iter 41: loss 1.5268, time 44.74ms, mfu 0.06%
