step 0: train loss 2.7386, val loss 2.7358
iter 0: loss 2.7311, time 889.92ms, mfu -100.00%
iter 1: loss 2.5217, time 23.22ms, mfu -100.00%
iter 2: loss 2.3851, time 27.76ms, mfu -100.00%
iter 3: loss 2.3336, time 28.52ms, mfu -100.00%
iter 4: loss 2.2471, time 21.60ms, mfu -100.00%
iter 5: loss 2.2326, time 23.04ms, mfu 0.05%
iter 6: loss 2.1928, time 24.22ms, mfu 0.05%
iter 7: loss 2.1804, time 26.41ms, mfu 0.05%
iter 8: loss 2.1459, time 26.44ms, mfu 0.05%
iter 9: loss 2.1608, time 27.79ms, mfu 0.05%
iter 10: loss 2.1330, time 25.40ms, mfu 0.05%
iter 11: loss 2.1277, time 25.44ms, mfu 0.05%
iter 12: loss 2.1460, time 29.45ms, mfu 0.05%
iter 13: loss 2.1025, time 25.99ms, mfu 0.05%
iter 14: loss 2.0969, time 27.20ms, mfu 0.05%
iter 15: loss 2.0653, time 26.28ms, mfu 0.05%
iter 16: loss 2.1100, time 26.07ms, mfu 0.05%
iter 17: loss 2.0813, time 23.15ms, mfu 0.05%
iter 18: loss 2.0994, time 25.88ms, mfu 0.05%
iter 19: loss 2.0599, time 32.40ms, mfu 0.05%
iter 20: loss 2.0581, time 38.50ms, mfu 0.05%
iter 21: loss 2.0521, time 27.64ms, mfu 0.05%
iter 22: loss 2.0480, time 28.90ms, mfu 0.05%
iter 23: loss 2.0257, time 28.41ms, mfu 0.05%
iter 24: loss 2.0241, time 29.23ms, mfu 0.05%
iter 25: loss 2.0289, time 28.65ms, mfu 0.05%
iter 26: loss 2.0246, time 35.59ms, mfu 0.05%
iter 27: loss 2.0132, time 31.05ms, mfu 0.04%
iter 28: loss 2.0154, time 28.79ms, mfu 0.04%
iter 29: loss 2.0174, time 34.05ms, mfu 0.04%
iter 30: loss 2.0311, time 30.50ms, mfu 0.04%
iter 31: loss 2.0062, time 31.41ms, mfu 0.04%
iter 32: loss 2.0387, time 24.45ms, mfu 0.04%
iter 33: loss 1.9976, time 27.41ms, mfu 0.04%
iter 34: loss 1.9845, time 33.23ms, mfu 0.04%
iter 35: loss 1.9637, time 25.42ms, mfu 0.04%
iter 36: loss 1.9808, time 26.29ms, mfu 0.04%
iter 37: loss 1.9686, time 32.68ms, mfu 0.04%
iter 38: loss 1.9457, time 132.99ms, mfu 0.04%
iter 39: loss 1.9591, time 30.56ms, mfu 0.04%
iter 40: loss 1.9378, time 25.64ms, mfu 0.04%
iter 41: loss 1.9314, time 24.72ms, mfu 0.04%
iter 42: loss 1.9288, time 25.09ms, mfu 0.04%
iter 43: loss 1.9440, time 22.99ms, mfu 0.04%
iter 44: loss 1.8893, time 24.94ms, mfu 0.05%
iter 45: loss 1.9009, time 29.46ms, mfu 0.04%
iter 46: loss 1.8513, time 34.13ms, mfu 0.04%
iter 47: loss 1.8590, time 29.67ms, mfu 0.04%
iter 48: loss 1.8460, time 26.70ms, mfu 0.04%
iter 49: loss 1.8671, time 25.61ms, mfu 0.04%
iter 50: loss 1.8402, time 28.58ms, mfu 0.04%
iter 51: loss 1.8927, time 23.40ms, mfu 0.05%
iter 52: loss 1.9591, time 25.27ms, mfu 0.05%
iter 53: loss 1.8497, time 24.56ms, mfu 0.05%
iter 54: loss 1.8444, time 24.95ms, mfu 0.05%
iter 55: loss 1.8714, time 25.45ms, mfu 0.05%
iter 56: loss 1.8514, time 30.95ms, mfu 0.05%
iter 57: loss 1.8755, time 39.58ms, mfu 0.05%
iter 58: loss 1.8628, time 40.92ms, mfu 0.04%
iter 59: loss 1.8227, time 59.81ms, mfu 0.04%
iter 60: loss 1.8014, time 50.66ms, mfu 0.04%
iter 61: loss 1.8226, time 52.07ms, mfu 0.04%
iter 62: loss 1.7813, time 47.84ms, mfu 0.04%
iter 63: loss 1.8219, time 43.41ms, mfu 0.04%
iter 64: loss 1.7954, time 38.16ms, mfu 0.04%
iter 65: loss 1.7906, time 34.48ms, mfu 0.04%
iter 66: loss 1.7395, time 32.90ms, mfu 0.04%
iter 67: loss 1.7586, time 33.61ms, mfu 0.04%
iter 68: loss 1.6873, time 32.10ms, mfu 0.04%
iter 69: loss 1.6977, time 34.97ms, mfu 0.04%
iter 70: loss 1.6973, time 34.27ms, mfu 0.04%
iter 71: loss 1.7000, time 31.58ms, mfu 0.04%
iter 72: loss 1.6866, time 28.91ms, mfu 0.04%
iter 73: loss 1.6926, time 26.91ms, mfu 0.04%
iter 74: loss 1.6907, time 25.79ms, mfu 0.04%
iter 75: loss 1.7043, time 31.19ms, mfu 0.04%
iter 76: loss 1.6908, time 32.53ms, mfu 0.04%
iter 77: loss 1.6788, time 29.03ms, mfu 0.04%
iter 78: loss 1.6755, time 29.69ms, mfu 0.04%
iter 79: loss 1.7245, time 32.67ms, mfu 0.04%
iter 80: loss 1.7283, time 27.77ms, mfu 0.04%
iter 81: loss 1.7241, time 26.63ms, mfu 0.04%
iter 82: loss 1.7664, time 25.37ms, mfu 0.04%
iter 83: loss 1.6859, time 30.26ms, mfu 0.04%
iter 84: loss 1.6927, time 27.90ms, mfu 0.04%
iter 85: loss 1.7032, time 29.74ms, mfu 0.04%
iter 86: loss 1.7038, time 86.71ms, mfu 0.04%
iter 87: loss 1.6389, time 68.32ms, mfu 0.04%
iter 88: loss 1.6255, time 30.10ms, mfu 0.04%
iter 89: loss 1.6518, time 24.95ms, mfu 0.04%
iter 90: loss 1.6808, time 24.24ms, mfu 0.04%
iter 91: loss 1.7453, time 26.93ms, mfu 0.04%
iter 92: loss 1.6312, time 27.30ms, mfu 0.04%
iter 93: loss 1.8490, time 26.31ms, mfu 0.04%
iter 94: loss 1.7552, time 25.34ms, mfu 0.04%
iter 95: loss 1.6865, time 23.27ms, mfu 0.04%
iter 96: loss 1.6655, time 25.07ms, mfu 0.04%
iter 97: loss 1.7930, time 25.19ms, mfu 0.05%
iter 98: loss 1.6614, time 25.87ms, mfu 0.05%
iter 99: loss 1.6576, time 28.15ms, mfu 0.05%
step 100: train loss 1.6493, val loss 1.6816
saving checkpoint to out/without_scratchpad
iter 100: loss 1.6508, time 963.35ms, mfu 0.04%
iter 101: loss 1.6453, time 135.58ms, mfu 0.04%
iter 102: loss 1.6248, time 109.46ms, mfu 0.04%
iter 103: loss 1.6314, time 106.22ms, mfu 0.03%
iter 104: loss 1.6568, time 77.23ms, mfu 0.03%
iter 105: loss 1.6346, time 69.71ms, mfu 0.03%
iter 106: loss 1.7234, time 51.85ms, mfu 0.03%
iter 107: loss 1.6833, time 45.22ms, mfu 0.03%
iter 108: loss 1.6201, time 54.48ms, mfu 0.03%
iter 109: loss 1.6226, time 38.68ms, mfu 0.03%
iter 110: loss 1.6566, time 37.54ms, mfu 0.03%
iter 111: loss 1.6797, time 62.07ms, mfu 0.03%
iter 112: loss 1.6168, time 53.53ms, mfu 0.03%
iter 113: loss 1.6065, time 53.49ms, mfu 0.03%
iter 114: loss 1.6109, time 32.36ms, mfu 0.03%
iter 115: loss 1.5831, time 50.88ms, mfu 0.03%
iter 116: loss 1.6183, time 46.04ms, mfu 0.03%
iter 117: loss 1.5936, time 35.20ms, mfu 0.03%
iter 118: loss 1.6108, time 33.00ms, mfu 0.03%
iter 119: loss 1.6461, time 52.53ms, mfu 0.03%
iter 120: loss 1.5730, time 50.66ms, mfu 0.03%
iter 121: loss 1.5411, time 54.52ms, mfu 0.03%
iter 122: loss 1.5729, time 48.73ms, mfu 0.03%
iter 123: loss 1.5662, time 53.97ms, mfu 0.03%
iter 124: loss 1.5719, time 60.71ms, mfu 0.03%
iter 125: loss 1.5580, time 48.84ms, mfu 0.03%
iter 126: loss 1.6144, time 48.77ms, mfu 0.03%
iter 127: loss 1.6092, time 81.74ms, mfu 0.03%
iter 128: loss 1.5742, time 100.67ms, mfu 0.02%
iter 129: loss 1.5854, time 48.92ms, mfu 0.02%
iter 130: loss 1.6072, time 36.01ms, mfu 0.03%
iter 131: loss 1.5862, time 44.48ms, mfu 0.03%
iter 132: loss 1.5594, time 39.62ms, mfu 0.03%
iter 133: loss 1.5892, time 36.28ms, mfu 0.03%
iter 134: loss 1.5745, time 35.05ms, mfu 0.03%
iter 135: loss 1.5774, time 34.28ms, mfu 0.03%
iter 136: loss 1.5559, time 43.86ms, mfu 0.03%
iter 137: loss 1.5386, time 40.24ms, mfu 0.03%
iter 138: loss 1.5760, time 31.29ms, mfu 0.03%
iter 139: loss 1.5390, time 29.81ms, mfu 0.03%
iter 140: loss 1.5937, time 32.82ms, mfu 0.03%
iter 141: loss 1.5690, time 29.73ms, mfu 0.03%
iter 142: loss 1.5713, time 33.44ms, mfu 0.03%
iter 143: loss 1.5603, time 32.79ms, mfu 0.03%
iter 144: loss 1.5505, time 29.89ms, mfu 0.03%
iter 145: loss 1.5300, time 35.96ms, mfu 0.04%
iter 146: loss 1.5594, time 30.97ms, mfu 0.04%
iter 147: loss 1.5766, time 28.19ms, mfu 0.04%
iter 148: loss 1.5434, time 32.39ms, mfu 0.04%
iter 149: loss 1.5598, time 27.80ms, mfu 0.04%
iter 150: loss 1.5212, time 24.58ms, mfu 0.04%
iter 151: loss 1.5919, time 26.61ms, mfu 0.04%
iter 152: loss 1.5279, time 23.99ms, mfu 0.04%
iter 153: loss 1.5284, time 41.84ms, mfu 0.04%
iter 154: loss 1.5395, time 41.43ms, mfu 0.04%
iter 155: loss 1.5405, time 32.75ms, mfu 0.04%
iter 156: loss 1.5138, time 26.01ms, mfu 0.04%
iter 157: loss 1.5362, time 27.79ms, mfu 0.04%
iter 158: loss 1.4958, time 27.05ms, mfu 0.04%
iter 159: loss 1.5212, time 28.98ms, mfu 0.04%
iter 160: loss 1.4674, time 25.98ms, mfu 0.04%
iter 161: loss 1.5008, time 29.21ms, mfu 0.04%
iter 162: loss 1.4930, time 29.15ms, mfu 0.04%
iter 163: loss 1.5011, time 23.96ms, mfu 0.04%
iter 164: loss 1.4507, time 25.51ms, mfu 0.04%
iter 165: loss 1.5044, time 28.30ms, mfu 0.04%
iter 166: loss 1.4830, time 27.61ms, mfu 0.04%
iter 167: loss 1.4850, time 29.19ms, mfu 0.04%
iter 168: loss 1.4919, time 32.09ms, mfu 0.04%
iter 169: loss 1.4879, time 36.85ms, mfu 0.04%
iter 170: loss 1.4820, time 26.21ms, mfu 0.04%
iter 171: loss 1.5948, time 30.81ms, mfu 0.04%
iter 172: loss 1.4905, time 44.66ms, mfu 0.04%
iter 173: loss 1.5087, time 46.53ms, mfu 0.04%
iter 174: loss 1.5028, time 49.90ms, mfu 0.04%
iter 175: loss 1.5170, time 52.58ms, mfu 0.04%
iter 176: loss 1.5168, time 53.26ms, mfu 0.04%
iter 177: loss 1.5035, time 48.84ms, mfu 0.03%
iter 178: loss 1.4783, time 62.10ms, mfu 0.03%
iter 179: loss 1.5190, time 44.67ms, mfu 0.03%
iter 180: loss 1.4831, time 50.93ms, mfu 0.03%
iter 181: loss 1.4989, time 50.21ms, mfu 0.03%
iter 182: loss 1.4519, time 36.11ms, mfu 0.03%
iter 183: loss 1.4824, time 40.04ms, mfu 0.03%
iter 184: loss 1.4916, time 40.36ms, mfu 0.03%
iter 185: loss 1.4782, time 58.46ms, mfu 0.03%
iter 186: loss 1.4685, time 38.59ms, mfu 0.03%
iter 187: loss 1.4919, time 39.42ms, mfu 0.03%
iter 188: loss 1.4674, time 33.29ms, mfu 0.03%
iter 189: loss 1.5296, time 69.15ms, mfu 0.03%
iter 190: loss 1.4736, time 47.72ms, mfu 0.03%
iter 191: loss 1.4864, time 35.34ms, mfu 0.03%
iter 192: loss 1.5279, time 29.49ms, mfu 0.03%
iter 193: loss 1.4857, time 48.50ms, mfu 0.03%
iter 194: loss 1.5084, time 33.63ms, mfu 0.03%
iter 195: loss 1.5114, time 29.89ms, mfu 0.03%
iter 196: loss 1.4739, time 31.37ms, mfu 0.03%
iter 197: loss 1.4851, time 76.30ms, mfu 0.03%
iter 198: loss 1.4829, time 53.73ms, mfu 0.03%
iter 199: loss 1.4481, time 54.68ms, mfu 0.03%
step 200: train loss 1.4745, val loss 1.4947
saving checkpoint to out/without_scratchpad
iter 200: loss 1.4733, time 792.32ms, mfu 0.03%
iter 201: loss 1.4859, time 41.57ms, mfu 0.03%
iter 202: loss 1.4451, time 32.19ms, mfu 0.03%
iter 203: loss 1.4817, time 36.76ms, mfu 0.03%
iter 204: loss 1.5129, time 31.75ms, mfu 0.03%
iter 205: loss 1.4631, time 30.57ms, mfu 0.03%
iter 206: loss 1.4674, time 28.40ms, mfu 0.03%
iter 207: loss 1.4715, time 26.99ms, mfu 0.03%
iter 208: loss 1.4699, time 27.88ms, mfu 0.04%
iter 209: loss 1.4597, time 28.60ms, mfu 0.04%
iter 210: loss 1.4952, time 29.01ms, mfu 0.04%
iter 211: loss 1.5082, time 33.14ms, mfu 0.04%
iter 212: loss 1.4568, time 25.48ms, mfu 0.04%
iter 213: loss 1.4925, time 29.54ms, mfu 0.04%
iter 214: loss 1.4907, time 29.13ms, mfu 0.04%
iter 215: loss 1.4607, time 26.80ms, mfu 0.04%
iter 216: loss 1.4661, time 27.64ms, mfu 0.04%
iter 217: loss 1.4643, time 28.47ms, mfu 0.04%
iter 218: loss 1.4700, time 34.05ms, mfu 0.04%
iter 219: loss 1.4421, time 31.54ms, mfu 0.04%
iter 220: loss 1.4853, time 31.48ms, mfu 0.04%
iter 221: loss 1.4333, time 28.33ms, mfu 0.04%
iter 222: loss 1.4753, time 48.92ms, mfu 0.04%
iter 223: loss 1.4681, time 56.76ms, mfu 0.04%
iter 224: loss 1.4809, time 76.73ms, mfu 0.04%
iter 225: loss 1.4917, time 55.05ms, mfu 0.03%
iter 226: loss 1.4841, time 38.36ms, mfu 0.03%
iter 227: loss 1.4666, time 39.40ms, mfu 0.03%
