step 0: train loss 2.9392, val loss 2.9387
iter 0: loss 2.9419, time 1346.70ms, mfu -100.00%
iter 1: loss 2.6406, time 47.83ms, mfu -100.00%
iter 2: loss 2.5371, time 47.40ms, mfu -100.00%
iter 3: loss 2.4769, time 44.55ms, mfu -100.00%
iter 4: loss 2.4392, time 48.81ms, mfu -100.00%
iter 5: loss 2.3203, time 72.40ms, mfu 0.04%
iter 6: loss 2.2657, time 66.46ms, mfu 0.04%
iter 7: loss 2.2325, time 66.93ms, mfu 0.04%
iter 8: loss 2.2109, time 53.29ms, mfu 0.04%
iter 9: loss 2.1764, time 45.12ms, mfu 0.04%
iter 10: loss 2.1610, time 57.06ms, mfu 0.04%
iter 11: loss 2.1638, time 42.24ms, mfu 0.04%
iter 12: loss 2.1438, time 44.26ms, mfu 0.05%
iter 13: loss 2.1326, time 57.78ms, mfu 0.05%
iter 14: loss 2.1331, time 60.86ms, mfu 0.05%
iter 15: loss 2.1162, time 47.91ms, mfu 0.05%
iter 16: loss 2.1100, time 54.04ms, mfu 0.05%
iter 17: loss 2.0886, time 44.70ms, mfu 0.05%
iter 18: loss 2.0821, time 92.98ms, mfu 0.05%
iter 19: loss 2.0913, time 73.56ms, mfu 0.05%
iter 20: loss 2.0748, time 114.63ms, mfu 0.04%
iter 21: loss 2.0825, time 77.65ms, mfu 0.04%
iter 22: loss 2.0769, time 76.14ms, mfu 0.04%
iter 23: loss 2.0493, time 61.35ms, mfu 0.04%
iter 24: loss 2.0619, time 47.06ms, mfu 0.04%
iter 25: loss 2.0271, time 47.23ms, mfu 0.05%
iter 26: loss 2.0518, time 49.56ms, mfu 0.05%
iter 27: loss 2.0192, time 52.20ms, mfu 0.05%
iter 28: loss 2.0293, time 52.44ms, mfu 0.05%
iter 29: loss 2.0249, time 50.78ms, mfu 0.05%
iter 30: loss 2.0080, time 45.14ms, mfu 0.05%
iter 31: loss 2.0335, time 43.89ms, mfu 0.05%
iter 32: loss 2.0157, time 42.71ms, mfu 0.05%
