step 0: train loss 2.9392, val loss 2.9387
iter 0: loss 2.9419, time 1170.23ms, mfu -100.00%
iter 1: loss 2.6406, time 49.78ms, mfu -100.00%
iter 2: loss 2.5371, time 43.14ms, mfu -100.00%
iter 3: loss 2.4769, time 45.52ms, mfu -100.00%
iter 4: loss 2.4392, time 52.59ms, mfu -100.00%
iter 5: loss 2.3203, time 45.84ms, mfu 0.06%
iter 6: loss 2.2657, time 42.40ms, mfu 0.06%
iter 7: loss 2.2325, time 41.49ms, mfu 0.06%
iter 8: loss 2.2109, time 50.59ms, mfu 0.06%
iter 9: loss 2.1764, time 45.86ms, mfu 0.06%
iter 10: loss 2.1610, time 47.31ms, mfu 0.06%
iter 11: loss 2.1637, time 45.17ms, mfu 0.06%
iter 12: loss 2.1438, time 47.49ms, mfu 0.06%
iter 13: loss 2.1326, time 42.95ms, mfu 0.06%
iter 14: loss 2.1331, time 55.29ms, mfu 0.06%
iter 15: loss 2.1162, time 58.69ms, mfu 0.06%
iter 16: loss 2.1100, time 61.44ms, mfu 0.06%
iter 17: loss 2.0885, time 71.09ms, mfu 0.05%
iter 18: loss 2.0821, time 54.00ms, mfu 0.05%
iter 19: loss 2.0913, time 54.40ms, mfu 0.05%
iter 20: loss 2.0748, time 48.28ms, mfu 0.05%
iter 21: loss 2.0824, time 66.81ms, mfu 0.05%
iter 22: loss 2.0769, time 66.74ms, mfu 0.05%
iter 23: loss 2.0493, time 84.74ms, mfu 0.05%
iter 24: loss 2.0618, time 80.81ms, mfu 0.05%
iter 25: loss 2.0271, time 60.94ms, mfu 0.05%
iter 26: loss 2.0517, time 62.59ms, mfu 0.05%
iter 27: loss 2.0192, time 59.19ms, mfu 0.05%
iter 28: loss 2.0292, time 50.28ms, mfu 0.05%
iter 29: loss 2.0249, time 51.02ms, mfu 0.05%
iter 30: loss 2.0079, time 44.30ms, mfu 0.05%
iter 31: loss 2.0335, time 45.20ms, mfu 0.05%
iter 32: loss 2.0156, time 51.45ms, mfu 0.05%
iter 33: loss 2.0052, time 48.48ms, mfu 0.05%
iter 34: loss 1.9881, time 53.99ms, mfu 0.05%
iter 35: loss 2.0273, time 44.94ms, mfu 0.05%
iter 36: loss 1.9911, time 50.68ms, mfu 0.05%
iter 37: loss 1.9908, time 42.56ms, mfu 0.05%
iter 38: loss 1.9432, time 47.71ms, mfu 0.05%
iter 39: loss 1.9555, time 50.64ms, mfu 0.05%
iter 40: loss 2.0478, time 48.51ms, mfu 0.05%
iter 41: loss 2.0132, time 46.65ms, mfu 0.05%
iter 42: loss 1.9776, time 44.75ms, mfu 0.06%
iter 43: loss 1.9445, time 44.20ms, mfu 0.06%
iter 44: loss 1.9601, time 47.23ms, mfu 0.06%
iter 45: loss 1.9452, time 47.44ms, mfu 0.06%
iter 46: loss 1.9395, time 55.56ms, mfu 0.06%
iter 47: loss 1.9703, time 47.47ms, mfu 0.06%
iter 48: loss 1.9148, time 46.07ms, mfu 0.06%
iter 49: loss 1.9245, time 52.12ms, mfu 0.06%
iter 50: loss 1.9182, time 54.62ms, mfu 0.05%
iter 51: loss 1.9365, time 50.85ms, mfu 0.05%
iter 52: loss 1.8922, time 50.68ms, mfu 0.05%
iter 53: loss 1.9255, time 52.32ms, mfu 0.05%
iter 54: loss 1.9052, time 50.66ms, mfu 0.05%
iter 55: loss 1.8880, time 49.76ms, mfu 0.05%
iter 56: loss 1.9095, time 51.17ms, mfu 0.05%
iter 57: loss 1.9382, time 44.21ms, mfu 0.05%
iter 58: loss 1.9200, time 47.62ms, mfu 0.06%
iter 59: loss 1.8687, time 50.55ms, mfu 0.06%
iter 60: loss 1.8730, time 58.48ms, mfu 0.05%
iter 61: loss 1.8702, time 48.43ms, mfu 0.05%
iter 62: loss 1.8877, time 51.45ms, mfu 0.05%
iter 63: loss 1.8481, time 50.07ms, mfu 0.05%
iter 64: loss 1.8216, time 62.05ms, mfu 0.05%
iter 65: loss 1.8123, time 95.02ms, mfu 0.05%
iter 66: loss 1.8675, time 54.54ms, mfu 0.05%
iter 67: loss 1.8505, time 49.87ms, mfu 0.05%
iter 68: loss 1.8080, time 47.85ms, mfu 0.05%
iter 69: loss 1.8136, time 49.50ms, mfu 0.05%
iter 70: loss 1.7496, time 73.37ms, mfu 0.05%
iter 71: loss 1.8457, time 133.19ms, mfu 0.05%
iter 72: loss 1.8027, time 89.62ms, mfu 0.05%
iter 73: loss 1.7714, time 69.84ms, mfu 0.05%
iter 74: loss 1.7728, time 97.10ms, mfu 0.04%
iter 75: loss 1.7819, time 84.30ms, mfu 0.04%
iter 76: loss 1.7800, time 81.66ms, mfu 0.04%
iter 77: loss 1.7548, time 68.77ms, mfu 0.04%
iter 78: loss 1.6951, time 60.33ms, mfu 0.04%
iter 79: loss 1.7089, time 52.45ms, mfu 0.04%
iter 80: loss 1.7024, time 54.08ms, mfu 0.04%
iter 81: loss 1.7866, time 60.03ms, mfu 0.04%
iter 82: loss 1.7116, time 62.05ms, mfu 0.04%
iter 83: loss 1.6886, time 68.51ms, mfu 0.04%
