step 0: train loss 2.9392, val loss 2.9387
iter 0: loss 2.9419, time 1144.96ms, mfu -100.00%
iter 1: loss 2.6406, time 50.54ms, mfu -100.00%
iter 2: loss 2.5371, time 47.98ms, mfu -100.00%
iter 3: loss 2.4769, time 44.67ms, mfu -100.00%
iter 4: loss 2.4392, time 48.21ms, mfu -100.00%
iter 5: loss 2.3203, time 44.14ms, mfu 0.06%
iter 6: loss 2.2657, time 50.04ms, mfu 0.06%
iter 7: loss 2.2325, time 45.67ms, mfu 0.06%
iter 8: loss 2.2109, time 48.95ms, mfu 0.06%
iter 9: loss 2.1764, time 43.82ms, mfu 0.06%
iter 10: loss 2.1610, time 42.32ms, mfu 0.06%
iter 11: loss 2.1637, time 47.59ms, mfu 0.06%
iter 12: loss 2.1438, time 46.62ms, mfu 0.06%
iter 13: loss 2.1326, time 47.54ms, mfu 0.06%
iter 14: loss 2.1331, time 45.45ms, mfu 0.06%
iter 15: loss 2.1162, time 42.77ms, mfu 0.06%
iter 16: loss 2.1100, time 48.07ms, mfu 0.06%
iter 17: loss 2.0885, time 43.26ms, mfu 0.06%
iter 18: loss 2.0821, time 48.79ms, mfu 0.06%
iter 19: loss 2.0913, time 57.50ms, mfu 0.06%
iter 20: loss 2.0748, time 64.98ms, mfu 0.06%
iter 21: loss 2.0824, time 45.60ms, mfu 0.06%
iter 22: loss 2.0769, time 52.28ms, mfu 0.06%
iter 23: loss 2.0493, time 49.87ms, mfu 0.06%
iter 24: loss 2.0618, time 48.79ms, mfu 0.06%
iter 25: loss 2.0271, time 46.31ms, mfu 0.06%
iter 26: loss 2.0517, time 53.14ms, mfu 0.06%
iter 27: loss 2.0192, time 53.55ms, mfu 0.06%
iter 28: loss 2.0292, time 62.46ms, mfu 0.05%
iter 29: loss 2.0249, time 122.22ms, mfu 0.05%
iter 30: loss 2.0079, time 49.34ms, mfu 0.05%
iter 31: loss 2.0335, time 54.88ms, mfu 0.05%
iter 32: loss 2.0156, time 57.69ms, mfu 0.05%
iter 33: loss 2.0052, time 53.88ms, mfu 0.05%
iter 34: loss 1.9881, time 47.97ms, mfu 0.05%
iter 35: loss 2.0273, time 55.99ms, mfu 0.05%
iter 36: loss 1.9911, time 47.33ms, mfu 0.05%
iter 37: loss 1.9908, time 49.57ms, mfu 0.05%
iter 38: loss 1.9432, time 45.70ms, mfu 0.05%
iter 39: loss 1.9555, time 46.71ms, mfu 0.05%
iter 40: loss 2.0478, time 48.33ms, mfu 0.05%
iter 41: loss 2.0132, time 46.36ms, mfu 0.05%
iter 42: loss 1.9776, time 57.94ms, mfu 0.05%
iter 43: loss 1.9445, time 48.49ms, mfu 0.05%
iter 44: loss 1.9601, time 44.76ms, mfu 0.05%
iter 45: loss 1.9452, time 49.21ms, mfu 0.05%
iter 46: loss 1.9395, time 79.36ms, mfu 0.05%
iter 47: loss 1.9703, time 74.80ms, mfu 0.05%
iter 48: loss 1.9148, time 87.92ms, mfu 0.05%
iter 49: loss 1.9245, time 54.04ms, mfu 0.05%
iter 50: loss 1.9182, time 52.48ms, mfu 0.05%
iter 51: loss 1.9365, time 44.71ms, mfu 0.05%
