step 0: train loss 2.7386, val loss 2.7358
iter 0: loss 2.7311, time 793.35ms, mfu -100.00%
iter 1: loss 2.5217, time 25.48ms, mfu -100.00%
iter 2: loss 2.3851, time 24.46ms, mfu -100.00%
iter 3: loss 2.3336, time 24.05ms, mfu -100.00%
iter 4: loss 2.2471, time 24.10ms, mfu -100.00%
iter 5: loss 2.2326, time 27.00ms, mfu 0.05%
iter 6: loss 2.1928, time 28.36ms, mfu 0.05%
iter 7: loss 2.1804, time 25.60ms, mfu 0.05%
iter 8: loss 2.1459, time 26.03ms, mfu 0.05%
iter 9: loss 2.1608, time 25.83ms, mfu 0.05%
iter 10: loss 2.1330, time 25.20ms, mfu 0.05%
iter 11: loss 2.1277, time 24.88ms, mfu 0.05%
iter 12: loss 2.1460, time 23.29ms, mfu 0.05%
iter 13: loss 2.1025, time 24.10ms, mfu 0.05%
iter 14: loss 2.0969, time 23.40ms, mfu 0.05%
iter 15: loss 2.0652, time 26.82ms, mfu 0.05%
iter 16: loss 2.1100, time 28.45ms, mfu 0.05%
iter 17: loss 2.0813, time 25.01ms, mfu 0.05%
iter 18: loss 2.0994, time 26.55ms, mfu 0.05%
iter 19: loss 2.0599, time 25.89ms, mfu 0.05%
iter 20: loss 2.0581, time 26.60ms, mfu 0.05%
iter 21: loss 2.0522, time 24.45ms, mfu 0.05%
iter 22: loss 2.0479, time 28.49ms, mfu 0.05%
iter 23: loss 2.0257, time 24.55ms, mfu 0.05%
iter 24: loss 2.0241, time 27.82ms, mfu 0.05%
iter 25: loss 2.0290, time 28.78ms, mfu 0.05%
iter 26: loss 2.0246, time 24.92ms, mfu 0.05%
iter 27: loss 2.0133, time 24.66ms, mfu 0.05%
iter 28: loss 2.0151, time 30.95ms, mfu 0.05%
iter 29: loss 2.0176, time 23.83ms, mfu 0.05%
iter 30: loss 2.0312, time 27.17ms, mfu 0.05%
iter 31: loss 2.0059, time 25.18ms, mfu 0.05%
iter 32: loss 2.0408, time 22.94ms, mfu 0.05%
iter 33: loss 1.9999, time 24.92ms, mfu 0.05%
iter 34: loss 1.9836, time 30.56ms, mfu 0.05%
iter 35: loss 1.9655, time 27.73ms, mfu 0.05%
iter 36: loss 1.9830, time 27.15ms, mfu 0.05%
iter 37: loss 1.9710, time 25.89ms, mfu 0.05%
iter 38: loss 1.9477, time 22.30ms, mfu 0.05%
iter 39: loss 1.9726, time 25.33ms, mfu 0.05%
iter 40: loss 1.9398, time 27.66ms, mfu 0.05%
iter 41: loss 1.9215, time 29.03ms, mfu 0.05%
iter 42: loss 1.9073, time 30.90ms, mfu 0.05%
iter 43: loss 1.8741, time 35.30ms, mfu 0.05%
iter 44: loss 1.8794, time 31.42ms, mfu 0.05%
iter 45: loss 1.8591, time 36.39ms, mfu 0.04%
iter 46: loss 1.9283, time 46.33ms, mfu 0.04%
iter 47: loss 1.8699, time 41.68ms, mfu 0.04%
iter 48: loss 2.0027, time 28.11ms, mfu 0.04%
iter 49: loss 1.9550, time 41.68ms, mfu 0.04%
iter 50: loss 2.0022, time 35.03ms, mfu 0.04%
iter 51: loss 1.9056, time 27.29ms, mfu 0.04%
iter 52: loss 1.9396, time 25.56ms, mfu 0.04%
iter 53: loss 2.0298, time 26.76ms, mfu 0.04%
iter 54: loss 1.9403, time 25.16ms, mfu 0.04%
iter 55: loss 1.8815, time 25.39ms, mfu 0.04%
iter 56: loss 1.8634, time 26.23ms, mfu 0.04%
iter 57: loss 1.8327, time 25.05ms, mfu 0.04%
iter 58: loss 1.8615, time 25.85ms, mfu 0.05%
iter 59: loss 1.8546, time 24.69ms, mfu 0.05%
iter 60: loss 1.7683, time 28.48ms, mfu 0.05%
iter 61: loss 1.8471, time 25.52ms, mfu 0.05%
iter 62: loss 1.7760, time 26.45ms, mfu 0.05%
iter 63: loss 1.7823, time 22.24ms, mfu 0.05%
iter 64: loss 1.8379, time 22.34ms, mfu 0.05%
iter 65: loss 1.8348, time 24.42ms, mfu 0.05%
iter 66: loss 1.7856, time 23.40ms, mfu 0.05%
iter 67: loss 1.7666, time 26.58ms, mfu 0.05%
iter 68: loss 1.7480, time 25.85ms, mfu 0.05%
iter 69: loss 1.7331, time 27.74ms, mfu 0.05%
iter 70: loss 1.7448, time 29.71ms, mfu 0.05%
iter 71: loss 1.7661, time 26.09ms, mfu 0.05%
iter 72: loss 1.7353, time 27.44ms, mfu 0.05%
iter 73: loss 1.7298, time 24.88ms, mfu 0.05%
iter 74: loss 1.8170, time 24.11ms, mfu 0.05%
iter 75: loss 1.7728, time 29.87ms, mfu 0.05%
iter 76: loss 1.7452, time 25.06ms, mfu 0.05%
iter 77: loss 1.7063, time 22.24ms, mfu 0.05%
iter 78: loss 1.7528, time 26.69ms, mfu 0.05%
iter 79: loss 1.7317, time 29.58ms, mfu 0.05%
iter 80: loss 1.8309, time 23.24ms, mfu 0.05%
iter 81: loss 1.8426, time 24.80ms, mfu 0.05%
iter 82: loss 1.7216, time 32.60ms, mfu 0.05%
iter 83: loss 1.7683, time 24.98ms, mfu 0.05%
iter 84: loss 1.7230, time 27.04ms, mfu 0.05%
iter 85: loss 1.7083, time 30.33ms, mfu 0.05%
iter 86: loss 1.6856, time 31.52ms, mfu 0.05%
iter 87: loss 1.7065, time 24.42ms, mfu 0.05%
iter 88: loss 1.6370, time 30.65ms, mfu 0.05%
iter 89: loss 1.6771, time 26.68ms, mfu 0.05%
iter 90: loss 1.6837, time 26.47ms, mfu 0.05%
iter 91: loss 1.6852, time 28.16ms, mfu 0.05%
iter 92: loss 1.6401, time 26.74ms, mfu 0.05%
iter 93: loss 1.6650, time 31.17ms, mfu 0.05%
iter 94: loss 1.6473, time 33.23ms, mfu 0.05%
iter 95: loss 1.6561, time 26.23ms, mfu 0.05%
iter 96: loss 1.6514, time 24.33ms, mfu 0.05%
iter 97: loss 1.6885, time 31.26ms, mfu 0.05%
iter 98: loss 1.6408, time 25.32ms, mfu 0.05%
iter 99: loss 1.6119, time 27.82ms, mfu 0.05%
step 100: train loss 1.6296, val loss 1.6413
saving checkpoint to out/without_scratchpad
iter 100: loss 1.6205, time 350.75ms, mfu 0.04%
iter 101: loss 1.6449, time 25.89ms, mfu 0.04%
iter 102: loss 1.6142, time 38.51ms, mfu 0.04%
iter 103: loss 1.6068, time 24.61ms, mfu 0.04%
iter 104: loss 1.6006, time 25.08ms, mfu 0.04%
iter 105: loss 1.6601, time 26.63ms, mfu 0.04%
iter 106: loss 1.6826, time 28.34ms, mfu 0.04%
iter 107: loss 1.6387, time 25.82ms, mfu 0.04%
iter 108: loss 1.6481, time 32.54ms, mfu 0.04%
iter 109: loss 1.5936, time 26.44ms, mfu 0.04%
iter 110: loss 1.6247, time 24.90ms, mfu 0.04%
iter 111: loss 1.6441, time 24.11ms, mfu 0.05%
iter 112: loss 1.6015, time 27.78ms, mfu 0.05%
iter 113: loss 1.5896, time 24.05ms, mfu 0.05%
iter 114: loss 1.6568, time 31.88ms, mfu 0.05%
iter 115: loss 1.6438, time 24.49ms, mfu 0.05%
iter 116: loss 1.6209, time 26.33ms, mfu 0.05%
iter 117: loss 1.6009, time 27.97ms, mfu 0.05%
iter 118: loss 1.6047, time 24.67ms, mfu 0.05%
iter 119: loss 1.6223, time 28.86ms, mfu 0.05%
iter 120: loss 1.5632, time 27.24ms, mfu 0.05%
iter 121: loss 1.5434, time 27.29ms, mfu 0.05%
iter 122: loss 1.5712, time 28.17ms, mfu 0.05%
iter 123: loss 1.5357, time 29.80ms, mfu 0.05%
iter 124: loss 1.5666, time 33.76ms, mfu 0.05%
iter 125: loss 1.5143, time 24.27ms, mfu 0.05%
iter 126: loss 1.5649, time 25.16ms, mfu 0.05%
iter 127: loss 1.5877, time 23.28ms, mfu 0.05%
iter 128: loss 1.5856, time 26.23ms, mfu 0.05%
iter 129: loss 1.5937, time 22.18ms, mfu 0.05%
iter 130: loss 1.5759, time 27.24ms, mfu 0.05%
iter 131: loss 1.5850, time 23.55ms, mfu 0.05%
iter 132: loss 1.5710, time 24.77ms, mfu 0.05%
iter 133: loss 1.5569, time 29.30ms, mfu 0.05%
iter 134: loss 1.5575, time 28.03ms, mfu 0.05%
iter 135: loss 1.5844, time 25.23ms, mfu 0.05%
iter 136: loss 1.5611, time 26.87ms, mfu 0.05%
iter 137: loss 1.5265, time 25.42ms, mfu 0.05%
iter 138: loss 1.5617, time 27.64ms, mfu 0.05%
iter 139: loss 1.5514, time 25.62ms, mfu 0.05%
iter 140: loss 1.6046, time 27.18ms, mfu 0.05%
iter 141: loss 1.5722, time 28.09ms, mfu 0.05%
iter 142: loss 1.5562, time 28.45ms, mfu 0.05%
iter 143: loss 1.5763, time 33.57ms, mfu 0.05%
iter 144: loss 1.5718, time 27.65ms, mfu 0.05%
iter 145: loss 1.5444, time 25.46ms, mfu 0.05%
iter 146: loss 1.5633, time 26.34ms, mfu 0.05%
iter 147: loss 1.5504, time 25.18ms, mfu 0.05%
iter 148: loss 1.5493, time 26.00ms, mfu 0.05%
iter 149: loss 1.5698, time 22.81ms, mfu 0.05%
iter 150: loss 1.5097, time 26.47ms, mfu 0.05%
iter 151: loss 1.5521, time 28.05ms, mfu 0.05%
iter 152: loss 1.5376, time 27.24ms, mfu 0.05%
iter 153: loss 1.5422, time 26.97ms, mfu 0.05%
iter 154: loss 1.5433, time 26.14ms, mfu 0.05%
iter 155: loss 1.5362, time 26.37ms, mfu 0.05%
iter 156: loss 1.4980, time 35.46ms, mfu 0.05%
iter 157: loss 1.5356, time 33.91ms, mfu 0.05%
iter 158: loss 1.5089, time 24.31ms, mfu 0.05%
iter 159: loss 1.5323, time 25.16ms, mfu 0.05%
iter 160: loss 1.4905, time 30.00ms, mfu 0.05%
iter 161: loss 1.4916, time 24.87ms, mfu 0.05%
iter 162: loss 1.4848, time 30.93ms, mfu 0.05%
iter 163: loss 1.5136, time 27.32ms, mfu 0.05%
iter 164: loss 1.4571, time 29.90ms, mfu 0.05%
iter 165: loss 1.5136, time 25.77ms, mfu 0.05%
iter 166: loss 1.4865, time 24.52ms, mfu 0.05%
iter 167: loss 1.4960, time 25.93ms, mfu 0.05%
iter 168: loss 1.5012, time 25.78ms, mfu 0.05%
iter 169: loss 1.5067, time 24.56ms, mfu 0.05%
iter 170: loss 1.4941, time 26.31ms, mfu 0.05%
iter 171: loss 1.5700, time 25.66ms, mfu 0.05%
iter 172: loss 1.4925, time 25.93ms, mfu 0.05%
iter 173: loss 1.5083, time 23.23ms, mfu 0.05%
iter 174: loss 1.4990, time 23.34ms, mfu 0.05%
iter 175: loss 1.5122, time 29.43ms, mfu 0.05%
iter 176: loss 1.4995, time 26.95ms, mfu 0.05%
iter 177: loss 1.4983, time 22.64ms, mfu 0.05%
iter 178: loss 1.4602, time 25.99ms, mfu 0.05%
iter 179: loss 1.4941, time 25.75ms, mfu 0.05%
iter 180: loss 1.4827, time 26.44ms, mfu 0.05%
iter 181: loss 1.4837, time 26.22ms, mfu 0.05%
iter 182: loss 1.4612, time 24.89ms, mfu 0.05%
iter 183: loss 1.4760, time 28.45ms, mfu 0.05%
iter 184: loss 1.4935, time 31.57ms, mfu 0.05%
iter 185: loss 1.4564, time 30.37ms, mfu 0.05%
iter 186: loss 1.4583, time 26.16ms, mfu 0.05%
iter 187: loss 1.4999, time 26.06ms, mfu 0.05%
iter 188: loss 1.4680, time 25.84ms, mfu 0.05%
iter 189: loss 1.5314, time 27.55ms, mfu 0.05%
iter 190: loss 1.4676, time 26.46ms, mfu 0.05%
iter 191: loss 1.4918, time 22.46ms, mfu 0.05%
iter 192: loss 1.5216, time 25.23ms, mfu 0.05%
iter 193: loss 1.4817, time 26.19ms, mfu 0.05%
iter 194: loss 1.5136, time 31.19ms, mfu 0.05%
iter 195: loss 1.4838, time 25.49ms, mfu 0.05%
iter 196: loss 1.5031, time 34.40ms, mfu 0.05%
iter 197: loss 1.5455, time 59.05ms, mfu 0.04%
iter 198: loss 1.4937, time 27.69ms, mfu 0.04%
iter 199: loss 1.4826, time 23.93ms, mfu 0.05%
step 200: train loss 1.4839, val loss 1.4933
saving checkpoint to out/without_scratchpad
iter 200: loss 1.5102, time 336.76ms, mfu 0.04%
iter 201: loss 1.4985, time 25.05ms, mfu 0.04%
iter 202: loss 1.4534, time 29.88ms, mfu 0.04%
iter 203: loss 1.4997, time 23.04ms, mfu 0.04%
iter 204: loss 1.4916, time 27.42ms, mfu 0.04%
iter 205: loss 1.4759, time 22.89ms, mfu 0.04%
iter 206: loss 1.4677, time 21.88ms, mfu 0.05%
iter 207: loss 1.4759, time 35.76ms, mfu 0.04%
iter 208: loss 1.4637, time 31.19ms, mfu 0.04%
iter 209: loss 1.4658, time 28.91ms, mfu 0.04%
iter 210: loss 1.5029, time 27.91ms, mfu 0.04%
iter 211: loss 1.4966, time 35.96ms, mfu 0.04%
iter 212: loss 1.4690, time 23.00ms, mfu 0.04%
iter 213: loss 1.4873, time 25.39ms, mfu 0.05%
iter 214: loss 1.4854, time 24.32ms, mfu 0.05%
iter 215: loss 1.4585, time 29.56ms, mfu 0.05%
iter 216: loss 1.4880, time 26.76ms, mfu 0.05%
iter 217: loss 1.4571, time 27.94ms, mfu 0.05%
iter 218: loss 1.4860, time 31.09ms, mfu 0.05%
iter 219: loss 1.4530, time 32.83ms, mfu 0.04%
iter 220: loss 1.4720, time 26.07ms, mfu 0.04%
iter 221: loss 1.4311, time 25.50ms, mfu 0.05%
iter 222: loss 1.4855, time 27.22ms, mfu 0.05%
iter 223: loss 1.4774, time 28.88ms, mfu 0.05%
iter 224: loss 1.4941, time 26.69ms, mfu 0.05%
iter 225: loss 1.4524, time 25.12ms, mfu 0.05%
iter 226: loss 1.4696, time 25.75ms, mfu 0.05%
iter 227: loss 1.4732, time 27.39ms, mfu 0.05%
iter 228: loss 1.4930, time 33.96ms, mfu 0.05%
iter 229: loss 1.4876, time 25.20ms, mfu 0.05%
iter 230: loss 1.4716, time 24.89ms, mfu 0.05%
iter 231: loss 1.4582, time 22.15ms, mfu 0.05%
iter 232: loss 1.4387, time 26.18ms, mfu 0.05%
iter 233: loss 1.4360, time 24.36ms, mfu 0.05%
iter 234: loss 1.4906, time 26.16ms, mfu 0.05%
iter 235: loss 1.4753, time 29.36ms, mfu 0.05%
iter 236: loss 1.4651, time 27.90ms, mfu 0.05%
iter 237: loss 1.4696, time 24.97ms, mfu 0.05%
iter 238: loss 1.4747, time 25.10ms, mfu 0.05%
iter 239: loss 1.4429, time 25.57ms, mfu 0.05%
iter 240: loss 1.4523, time 30.25ms, mfu 0.05%
iter 241: loss 1.4860, time 25.50ms, mfu 0.05%
iter 242: loss 1.4638, time 27.84ms, mfu 0.05%
iter 243: loss 1.4425, time 27.00ms, mfu 0.05%
iter 244: loss 1.4596, time 26.05ms, mfu 0.05%
iter 245: loss 1.4002, time 22.88ms, mfu 0.05%
iter 246: loss 1.4231, time 25.92ms, mfu 0.05%
iter 247: loss 1.4351, time 22.80ms, mfu 0.05%
iter 248: loss 1.4336, time 26.72ms, mfu 0.05%
iter 249: loss 1.4048, time 25.20ms, mfu 0.05%
