53+11->3+1=4,5+1=6->64
1+7->1+7=8->8
98+99->8+9=7c1,9+9+1=9c1->197
8+79->8+9=7c1,0+7+1=8c0->87
5+40->5+0=5,0+4=4->45
69+34->9+4=3c1,6+3+1=0c1->103
31+93->1+3=4,3+9=2c1->124
66+82->6+2=8,6+8=4c1->148
2+1->2+1=3->3
17+49->7+9=6c1,1+4+1=6c0->66
61+38->1+8=9,6+3=9->99
70+24->0+4=4,7+2=9->94
23+67->3+7=0c1,2+6+1=9c0->90
56+18->6+8=4c1,5+1+1=7c0->74
80+46->0+6=6,8+4=2c1->126
91+75->1+5=6,9+7=6c1->166
93+98->3+8=1c1,9+9+1=9c1->191
8+57->8+7=5c1,0+5+1=6c0->65
45+85->5+5=0c1,4+8+1=3c1->130
27+7->7+7=4c1,2+0+1=3c0->34
16+72->6+2=8,1+7=8->88
65+67->5+7=2c1,6+6+1=3c1->132
95+89->5+9=4c1,9+8+1=8c1->184
43+72->3+2=5,4+7=1c1->115
37+13->7+3=0c1,3+1+1=5c0->50
41+18->1+8=9,4+1=5->59
12+44->2+4=6,1+4=5->56
48+47->8+7=5c1,4+4+1=9c0->95
54+14->4+4=8,5+1=6->68
65+17->5+7=2c1,6+1+1=8c0->82
51+92->1+2=3,5+9=4c1->143
32+78->2+8=0c1,3+7+1=1c1->110
76+48->6+8=4c1,7+4+1=2c1->124
15+67->5+7=2c1,1+6+1=8c0->82
32+69->2+9=1c1,3+6+1=0c1->101
36+39->6+9=5c1,3+3+1=7c0->75
23+86->3+6=9,2+8=0c1->109
7+17->7+7=4c1,0+1+1=2c0->24
64+75->4+5=9,6+7=3c1->139
18+11->8+1=9,1+1=2->29
41+6->1+6=7,4+0=4->47
89+17->9+7=6c1,8+1+1=0c1->106
6+89->6+9=5c1,0+8+1=9c0->95
71+26->1+6=7,7+2=9->97
61+42->1+2=3,6+4=0c1->103
25+86->5+6=1c1,2+8+1=1c1->111
21+42->1+2=3,2+4=6->63
85+26->5+6=1c1,8+2+1=1c1->111
41+83->1+3=4,4+8=2c1->124
74+62->4+2=6,7+6=3c1->136
15+1->5+1=6,1+0=1->16
90+77->0+7=7,9+7=6c1->167
43+43->3+3=6,4+4=8->86
16+60->6+0=6,1+6=7->76
31+38->1+8=9,3+3=6->69
20+97->0+7=7,2+9=1c1->117
61+36->1+6=7,6+3=9->97
48+68->8+8=6c1,4+6+1=1c1->116
60+31->0+1=1,6+3=9->91
60+23->0+3=3,6+2=8->83
70+3->0+3=3,7+0=7->73
34+18->4+8=2c1,3+1+1=5c0->52
20+39->0+9=9,2+3=5->59
1+43->1+3=4,0+4=4->44
5+44->5+4=9,0+4=4->49
34+56->4+6=0c1,3+5+1=9c0->90
3+50->3+0=3,0+5=5->53
28+54->8+4=2c1,2+5+1=8c0->82
16+17->6+7=3c1,1+1+1=3c0->33
85+40->5+0=5,8+4=2c1->125
88+3->8+3=1c1,8+0+1=9c0->91
77+69->7+9=6c1,7+6+1=4c1->146
32+90->2+0=2,3+9=2c1->122
12+92->2+2=4,1+9=0c1->104
81+57->1+7=8,8+5=3c1->138
84+61->4+1=5,8+6=4c1->145
41+72->1+2=3,4+7=1c1->113
95+63->5+3=8,9+6=5c1->158
79+12->9+2=1c1,7+1+1=9c0->91
53+81->3+1=4,5+8=3c1->134
12+10->2+0=2,1+1=2->22
8+23->8+3=1c1,0+2+1=3c0->31
66+35->6+5=1c1,6+3+1=0c1->101
85+67->5+7=2c1,8+6+1=5c1->152
5+43->5+3=8,0+4=4->48
97+22->7+2=9,9+2=1c1->119
69+90->9+0=9,6+9=5c1->159
78+57->8+7=5c1,7+5+1=3c1->135
30+96->0+6=6,3+9=2c1->126
33+61->3+1=4,3+6=9->94
44+52->4+2=6,4+5=9->96
52+27->2+7=9,5+2=7->79
72+74->2+4=6,7+7=4c1->146
85+85->5+5=0c1,8+8+1=7c1->170
90+37->0+7=7,9+3=2c1->127
69+99->9+9=8c1,6+9+1=6c1->168
17+2->7+2=9,1+0=1->19
46+52->6+2=8,4+5=9->98
58+63->8+3=1c1,5+6+1=2c1->121
56+55->6+5=1c1,5+5+1=1c1->111
67+16->7+6=3c1,6+1+1=8c0->83
3+6->3+6=9->9
88+40->8+0=8,8+4=2c1->128
18+88->8+8=6c1,1+8+1=0c1->106
74+35->4+5=9,7+3=0c1->109
86+65->6+5=1c1,8+6+1=5c1->151
83+25->3+5=8,8+2=0c1->108
55+44->5+4=9,5+4=9->99
97+67->7+7=4c1,9+6+1=6c1->164
23+75->3+5=8,2+7=9->98
8+15->8+5=3c1,0+1+1=2c0->23
44+56->4+6=0c1,4+5+1=0c1->100
5+23->5+3=8,0+2=2->28
28+3->8+3=1c1,2+0+1=3c0->31
3+97->3+7=0c1,0+9+1=0c1->100
36+8->6+8=4c1,3+0+1=4c0->44
92+38->2+8=0c1,9+3+1=3c1->130
94+41->4+1=5,9+4=3c1->135
42+36->2+6=8,4+3=7->78
74+73->4+3=7,7+7=4c1->147
83+75->3+5=8,8+7=5c1->158
98+32->8+2=0c1,9+3+1=3c1->130
36+85->6+5=1c1,3+8+1=2c1->121
17+88->7+8=5c1,1+8+1=0c1->105
97+56->7+6=3c1,9+5+1=5c1->153
60+82->0+2=2,6+8=4c1->142
76+86->6+6=2c1,7+8+1=6c1->162
29+68->9+8=7c1,2+6+1=9c0->97
92+23->2+3=5,9+2=1c1->115
58+13->8+3=1c1,5+1+1=7c0->71
30+4->0+4=4,3+0=3->34
39+98->9+8=7c1,3+9+1=3c1->137
1+81->1+1=2,0+8=8->82
35+26->5+6=1c1,3+2+1=6c0->61
4+79->4+9=3c1,0+7+1=8c0->83
67+57->7+7=4c1,6+5+1=2c1->124
46+57->6+7=3c1,4+5+1=0c1->103
14+32->4+2=6,1+3=4->46
48+51->8+1=9,4+5=9->99
64+29->4+9=3c1,6+2+1=9c0->93
49+54->9+4=3c1,4+5+1=0c1->103
85+51->5+1=6,8+5=3c1->136
58+64->8+4=2c1,5+6+1=2c1->122
50+95->0+5=5,5+9=4c1->145
65+90->5+0=5,6+9=5c1->155
29+44->9+4=3c1,2+4+1=7c0->73
42+53->2+3=5,4+5=9->95
51+32->1+2=3,5+3=8->83
34+90->4+0=4,3+9=2c1->124
34+92->4+2=6,3+9=2c1->126
35+76->5+6=1c1,3+7+1=1c1->111
99+69->9+9=8c1,9+6+1=6c1->168
78+47->8+7=5c1,7+4+1=2c1->125
72+28->2+8=0c1,7+2+1=0c1->100
49+90->9+0=9,4+9=3c1->139
12+71->2+1=3,1+7=8->83
64+79->4+9=3c1,6+7+1=4c1->143
25+72->5+2=7,2+7=9->97
47+15->7+5=2c1,4+1+1=6c0->62
7+21->7+1=8,0+2=2->28
8+42->8+2=0c1,0+4+1=5c0->50
9+19->9+9=8c1,0+1+1=2c0->28
6+60->6+0=6,0+6=6->66
68+75->8+5=3c1,6+7+1=4c1->143
61+32->1+2=3,6+3=9->93
28+17->8+7=5c1,2+1+1=4c0->45
77+47->7+7=4c1,7+4+1=2c1->124
27+64->7+4=1c1,2+6+1=9c0->91
34+93->4+3=7,3+9=2c1->127
8+36->8+6=4c1,0+3+1=4c0->44
86+8->6+8=4c1,8+0+1=9c0->94
18+85->8+5=3c1,1+8+1=0c1->103
15+65->5+5=0c1,1+6+1=8c0->80
26+30->6+0=6,2+3=5->56
74+1->4+1=5,7+0=7->75
97+45->7+5=2c1,9+4+1=4c1->142
35+60->5+0=5,3+6=9->95
82+73->2+3=5,8+7=5c1->155
84+73->4+3=7,8+7=5c1->157
45+41->5+1=6,4+4=8->86
44+2->4+2=6,4+0=4->46
88+19->8+9=7c1,8+1+1=0c1->107
17+33->7+3=0c1,1+3+1=5c0->50
97+63->7+3=0c1,9+6+1=6c1->160
48+11->8+1=9,4+1=5->59
92+61->2+1=3,9+6=5c1->153
98+67->8+7=5c1,9+6+1=6c1->165
83+21->3+1=4,8+2=0c1->104
98+2->8+2=0c1,9+0+1=0c1->100
66+4->6+4=0c1,6+0+1=7c0->70
94+59->4+9=3c1,9+5+1=5c1->153
2+91->2+1=3,0+9=9->93
55+34->5+4=9,5+3=8->89
47+56->7+6=3c1,4+5+1=0c1->103
43+91->3+1=4,4+9=3c1->134
71+50->1+0=1,7+5=2c1->121
56+53->6+3=9,5+5=0c1->109
19+88->9+8=7c1,1+8+1=0c1->107
79+62->9+2=1c1,7+6+1=4c1->141
53+14->3+4=7,5+1=6->67
90+18->0+8=8,9+1=0c1->108
40+49->0+9=9,4+4=8->89
46+44->6+4=0c1,4+4+1=9c0->90
38+32->8+2=0c1,3+3+1=7c0->70
19+17->9+7=6c1,1+1+1=3c0->36
24+91->4+1=5,2+9=1c1->115
8+24->8+4=2c1,0+2+1=3c0->32
3+32->3+2=5,0+3=3->35
42+71->2+1=3,4+7=1c1->113
26+45->6+5=1c1,2+4+1=7c0->71
51+63->1+3=4,5+6=1c1->114
83+95->3+5=8,8+9=7c1->178
16+19->6+9=5c1,1+1+1=3c0->35
