step 0: train loss 3.4621, val loss 3.4609
iter 0: loss 3.4749, time 2220.37ms, mfu -100.00%
iter 1: loss 2.9384, time 27.21ms, mfu -100.00%
iter 2: loss 2.7222, time 36.16ms, mfu -100.00%
iter 3: loss 2.6639, time 33.32ms, mfu -100.00%
iter 4: loss 2.4272, time 25.61ms, mfu -100.00%
iter 5: loss 2.3926, time 30.39ms, mfu 0.04%
iter 6: loss 2.2366, time 29.21ms, mfu 0.04%
iter 7: loss 2.1915, time 22.82ms, mfu 0.04%
iter 8: loss 2.1392, time 27.49ms, mfu 0.04%
iter 9: loss 2.0931, time 27.77ms, mfu 0.04%
iter 10: loss 1.9968, time 22.22ms, mfu 0.05%
iter 11: loss 2.0267, time 25.35ms, mfu 0.05%
iter 12: loss 1.9854, time 30.70ms, mfu 0.05%
iter 13: loss 1.9539, time 25.80ms, mfu 0.05%
iter 14: loss 1.8866, time 24.66ms, mfu 0.05%
iter 15: loss 1.8872, time 26.02ms, mfu 0.05%
iter 16: loss 1.9252, time 25.95ms, mfu 0.05%
iter 17: loss 1.9074, time 25.36ms, mfu 0.05%
iter 18: loss 1.8553, time 23.77ms, mfu 0.05%
iter 19: loss 1.8760, time 30.03ms, mfu 0.05%
iter 20: loss 1.7548, time 27.78ms, mfu 0.05%
iter 21: loss 1.8095, time 24.21ms, mfu 0.05%
iter 22: loss 1.8499, time 28.01ms, mfu 0.05%
iter 23: loss 1.8386, time 22.85ms, mfu 0.05%
iter 24: loss 1.7564, time 27.04ms, mfu 0.05%
iter 25: loss 1.7105, time 32.24ms, mfu 0.05%
iter 26: loss 1.7123, time 30.09ms, mfu 0.05%
iter 27: loss 1.7477, time 22.32ms, mfu 0.05%
iter 28: loss 1.7661, time 28.44ms, mfu 0.05%
iter 29: loss 1.7343, time 28.06ms, mfu 0.05%
iter 30: loss 1.6359, time 26.04ms, mfu 0.05%
iter 31: loss 1.6275, time 23.11ms, mfu 0.05%
iter 32: loss 1.5980, time 24.05ms, mfu 0.05%
iter 33: loss 1.7356, time 24.46ms, mfu 0.05%
iter 34: loss 1.6503, time 23.28ms, mfu 0.05%
iter 35: loss 1.6855, time 25.22ms, mfu 0.05%
iter 36: loss 1.7174, time 22.00ms, mfu 0.05%
iter 37: loss 1.5964, time 24.65ms, mfu 0.05%
iter 38: loss 1.6877, time 31.40ms, mfu 0.05%
iter 39: loss 1.6160, time 25.48ms, mfu 0.05%
iter 40: loss 1.6662, time 22.46ms, mfu 0.05%
iter 41: loss 1.6161, time 24.75ms, mfu 0.05%
iter 42: loss 1.6087, time 22.66ms, mfu 0.05%
iter 43: loss 1.5766, time 26.16ms, mfu 0.05%
iter 44: loss 1.5941, time 28.01ms, mfu 0.05%
iter 45: loss 1.5696, time 23.54ms, mfu 0.05%
iter 46: loss 1.6354, time 27.69ms, mfu 0.05%
iter 47: loss 1.6060, time 25.18ms, mfu 0.05%
iter 48: loss 1.5768, time 25.13ms, mfu 0.05%
iter 49: loss 1.5845, time 23.51ms, mfu 0.05%
iter 50: loss 1.5923, time 25.10ms, mfu 0.05%
