2026-02-22 16:59:29,414 INFO    MainThread:30383 [wandb_setup.py:_flush():81] Current SDK version is 0.24.0
2026-02-22 16:59:29,415 INFO    MainThread:30383 [wandb_setup.py:_flush():81] Configure stats pid to 30383
2026-02-22 16:59:29,415 INFO    MainThread:30383 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-02-22 16:59:29,415 INFO    MainThread:30383 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /Users/sonnguyen/comp560-sonnguyen/transformer-algebra/wandb/run-20260222_165929-ef8vuet1/logs/debug.log
2026-02-22 16:59:29,415 INFO    MainThread:30383 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /Users/sonnguyen/comp560-sonnguyen/transformer-algebra/wandb/run-20260222_165929-ef8vuet1/logs/debug-internal.log
2026-02-22 16:59:29,415 INFO    MainThread:30383 [wandb_init.py:init():844] calling init triggers
2026-02-22 16:59:29,415 INFO    MainThread:30383 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'out_dir': 'out/reverse', 'eval_interval': 100, 'log_interval': 1, 'eval_iters': 20, 'eval_only': False, 'always_save_checkpoint': False, 'init_from': 'scratch', 'wandb_log': True, 'wandb_project': 'transformer-algebra', 'wandb_run_name': 'reverse', 'dataset': 'reverse', 'gradient_accumulation_steps': 1, 'batch_size': 64, 'block_size': 32, 'n_layer': 4, 'n_head': 4, 'n_embd': 128, 'dropout': 0.1, 'bias': False, 'learning_rate': 0.001, 'max_iters': 2000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'grad_clip': 1.0, 'decay_lr': True, 'warmup_iters': 100, 'lr_decay_iters': 2000, 'min_lr': 0.0001, 'backend': 'nccl', 'device': 'cpu', 'dtype': 'float16', 'compile': False, '_wandb': {}}
2026-02-22 16:59:29,415 INFO    MainThread:30383 [wandb_init.py:init():892] starting backend
2026-02-22 16:59:29,706 INFO    MainThread:30383 [wandb_init.py:init():895] sending inform_init request
2026-02-22 16:59:29,739 INFO    MainThread:30383 [wandb_init.py:init():903] backend started and connected
2026-02-22 16:59:29,753 INFO    MainThread:30383 [wandb_init.py:init():973] updated telemetry
2026-02-22 16:59:29,768 INFO    MainThread:30383 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-02-22 16:59:30,278 INFO    MainThread:30383 [wandb_init.py:init():1044] starting run threads in backend
2026-02-22 16:59:30,586 INFO    MainThread:30383 [wandb_run.py:_console_start():2529] atexit reg
2026-02-22 16:59:30,586 INFO    MainThread:30383 [wandb_run.py:_redirect():2377] redirect: wrap_raw
2026-02-22 16:59:30,586 INFO    MainThread:30383 [wandb_run.py:_redirect():2446] Wrapping output streams.
2026-02-22 16:59:30,586 INFO    MainThread:30383 [wandb_run.py:_redirect():2469] Redirects installed.
2026-02-22 16:59:30,588 INFO    MainThread:30383 [wandb_init.py:init():1084] run started, returning control to user process
2026-02-22 16:59:30,589 INFO    wandb-AsyncioManager-main:30383 [service_client.py:_forward_responses():80] Reached EOF.
2026-02-22 16:59:30,589 INFO    wandb-AsyncioManager-main:30383 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
