step 0: train loss 2.7336, val loss 2.7305
iter 0: loss 2.7360, time 1807.87ms, mfu -100.00%
iter 1: loss 2.7009, time 97.39ms, mfu -100.00%
iter 2: loss 2.6505, time 118.36ms, mfu -100.00%
iter 3: loss 2.5704, time 108.66ms, mfu -100.00%
iter 4: loss 2.4819, time 90.07ms, mfu -100.00%
iter 5: loss 2.3805, time 95.11ms, mfu 0.03%
iter 6: loss 2.3040, time 93.86ms, mfu 0.03%
iter 7: loss 2.2292, time 88.05ms, mfu 0.03%
iter 8: loss 2.1830, time 102.08ms, mfu 0.03%
iter 9: loss 2.1396, time 95.78ms, mfu 0.03%
iter 10: loss 2.1125, time 98.71ms, mfu 0.03%
iter 11: loss 2.0814, time 86.53ms, mfu 0.03%
iter 12: loss 2.0524, time 83.48ms, mfu 0.03%
iter 13: loss 2.0124, time 105.34ms, mfu 0.03%
iter 14: loss 1.9409, time 93.75ms, mfu 0.03%
iter 15: loss 1.9073, time 88.83ms, mfu 0.03%
iter 16: loss 1.8552, time 93.51ms, mfu 0.03%
iter 17: loss 1.8037, time 88.26ms, mfu 0.03%
iter 18: loss 1.7698, time 99.92ms, mfu 0.03%
iter 19: loss 1.7335, time 103.79ms, mfu 0.03%
iter 20: loss 1.7112, time 84.95ms, mfu 0.03%
iter 21: loss 1.6816, time 88.66ms, mfu 0.03%
iter 22: loss 1.6586, time 101.07ms, mfu 0.03%
iter 23: loss 1.6333, time 88.58ms, mfu 0.03%
iter 24: loss 1.6108, time 90.22ms, mfu 0.03%
iter 25: loss 1.6000, time 89.32ms, mfu 0.03%
iter 26: loss 1.5759, time 90.79ms, mfu 0.04%
iter 27: loss 1.5599, time 85.93ms, mfu 0.04%
iter 28: loss 1.5483, time 86.73ms, mfu 0.04%
iter 29: loss 1.5266, time 92.63ms, mfu 0.04%
iter 30: loss 1.5171, time 84.76ms, mfu 0.04%
iter 31: loss 1.5198, time 85.44ms, mfu 0.04%
iter 32: loss 1.5048, time 88.29ms, mfu 0.04%
iter 33: loss 1.4997, time 84.73ms, mfu 0.04%
iter 34: loss 1.4808, time 90.25ms, mfu 0.04%
iter 35: loss 1.4758, time 105.02ms, mfu 0.04%
