step 0: train loss 2.7336, val loss 2.7305
iter 0: loss 2.7395, time 5974.56ms, mfu -100.00%
iter 1: loss 2.7022, time 123.81ms, mfu -100.00%
iter 2: loss 2.6494, time 58.98ms, mfu -100.00%
iter 3: loss 2.5774, time 41.07ms, mfu -100.00%
iter 4: loss 2.4792, time 31.10ms, mfu -100.00%
iter 5: loss 2.3893, time 32.83ms, mfu 0.10%
iter 6: loss 2.2966, time 35.75ms, mfu 0.10%
iter 7: loss 2.2352, time 56.06ms, mfu 0.09%
iter 8: loss 2.1856, time 29.32ms, mfu 0.10%
iter 9: loss 2.1419, time 29.58ms, mfu 0.10%
iter 10: loss 2.1130, time 28.81ms, mfu 0.10%
iter 11: loss 2.0841, time 31.68ms, mfu 0.10%
iter 12: loss 2.0522, time 29.29ms, mfu 0.10%
iter 13: loss 1.9977, time 28.26ms, mfu 0.10%
iter 14: loss 1.9585, time 26.61ms, mfu 0.10%
iter 15: loss 1.9106, time 146.44ms, mfu 0.10%
iter 16: loss 1.8514, time 46.53ms, mfu 0.09%
iter 17: loss 1.8081, time 28.48ms, mfu 0.09%
iter 18: loss 1.7601, time 26.25ms, mfu 0.10%
iter 19: loss 1.7240, time 24.48ms, mfu 0.10%
iter 20: loss 1.7097, time 24.15ms, mfu 0.10%
iter 21: loss 1.6687, time 26.25ms, mfu 0.11%
iter 22: loss 1.6448, time 24.13ms, mfu 0.11%
iter 23: loss 1.6330, time 25.03ms, mfu 0.11%
iter 24: loss 1.6098, time 29.65ms, mfu 0.11%
iter 25: loss 1.5826, time 27.85ms, mfu 0.11%
iter 26: loss 1.5675, time 24.43ms, mfu 0.11%
iter 27: loss 1.5757, time 24.09ms, mfu 0.12%
iter 28: loss 1.5581, time 25.71ms, mfu 0.12%
iter 29: loss 1.5420, time 24.81ms, mfu 0.12%
iter 30: loss 1.5262, time 24.72ms, mfu 0.12%
iter 31: loss 1.5029, time 24.40ms, mfu 0.12%
iter 32: loss 1.5045, time 24.31ms, mfu 0.12%
iter 33: loss 1.4908, time 24.22ms, mfu 0.12%
iter 34: loss 1.4816, time 24.27ms, mfu 0.12%
iter 35: loss 1.4654, time 23.81ms, mfu 0.13%
iter 36: loss 1.4484, time 24.22ms, mfu 0.13%
iter 37: loss 1.4704, time 23.64ms, mfu 0.13%
iter 38: loss 1.4372, time 24.13ms, mfu 0.13%
iter 39: loss 1.4301, time 23.64ms, mfu 0.13%
iter 40: loss 1.4182, time 23.13ms, mfu 0.13%
iter 41: loss 1.4002, time 26.49ms, mfu 0.13%
iter 42: loss 1.3961, time 23.83ms, mfu 0.13%
iter 43: loss 1.3947, time 24.13ms, mfu 0.13%
iter 44: loss 1.3791, time 45.50ms, mfu 0.12%
iter 45: loss 1.3692, time 25.40ms, mfu 0.12%
iter 46: loss 1.3721, time 27.92ms, mfu 0.12%
iter 47: loss 1.3634, time 29.62ms, mfu 0.12%
iter 48: loss 1.3617, time 27.23ms, mfu 0.12%
iter 49: loss 1.3567, time 27.49ms, mfu 0.12%
iter 50: loss 1.3369, time 26.22ms, mfu 0.12%
iter 51: loss 1.3382, time 27.11ms, mfu 0.12%
iter 52: loss 1.3425, time 27.59ms, mfu 0.12%
iter 53: loss 1.3371, time 27.50ms, mfu 0.12%
iter 54: loss 1.3342, time 35.07ms, mfu 0.12%
iter 55: loss 1.3286, time 30.65ms, mfu 0.12%
iter 56: loss 1.3233, time 25.42ms, mfu 0.12%
iter 57: loss 1.3180, time 26.24ms, mfu 0.12%
iter 58: loss 1.3208, time 24.87ms, mfu 0.12%
iter 59: loss 1.3177, time 24.39ms, mfu 0.12%
iter 60: loss 1.3116, time 25.71ms, mfu 0.12%
iter 61: loss 1.3113, time 23.90ms, mfu 0.12%
iter 62: loss 1.3111, time 24.11ms, mfu 0.12%
iter 63: loss 1.3155, time 23.87ms, mfu 0.13%
iter 64: loss 1.3058, time 23.55ms, mfu 0.13%
iter 65: loss 1.3041, time 27.25ms, mfu 0.13%
iter 66: loss 1.3049, time 24.03ms, mfu 0.13%
iter 67: loss 1.2887, time 25.09ms, mfu 0.13%
iter 68: loss 1.2940, time 24.63ms, mfu 0.13%
iter 69: loss 1.2922, time 27.88ms, mfu 0.13%
iter 70: loss 1.2960, time 24.23ms, mfu 0.13%
iter 71: loss 1.2854, time 24.52ms, mfu 0.13%
iter 72: loss 1.2868, time 24.37ms, mfu 0.13%
iter 73: loss 1.2804, time 24.80ms, mfu 0.13%
iter 74: loss 1.2678, time 27.77ms, mfu 0.13%
iter 75: loss 1.2693, time 25.07ms, mfu 0.13%
iter 76: loss 1.2745, time 24.75ms, mfu 0.13%
iter 77: loss 1.2724, time 25.61ms, mfu 0.13%
iter 78: loss 1.2534, time 27.92ms, mfu 0.13%
iter 79: loss 1.2980, time 23.09ms, mfu 0.13%
iter 80: loss 1.2570, time 22.92ms, mfu 0.13%
iter 81: loss 1.2667, time 22.99ms, mfu 0.13%
iter 82: loss 1.2539, time 23.12ms, mfu 0.13%
iter 83: loss 1.2570, time 23.47ms, mfu 0.13%
iter 84: loss 1.2544, time 23.40ms, mfu 0.13%
iter 85: loss 1.2443, time 27.26ms, mfu 0.13%
iter 86: loss 1.2373, time 27.16ms, mfu 0.13%
iter 87: loss 1.2412, time 24.27ms, mfu 0.13%
iter 88: loss 1.2423, time 23.84ms, mfu 0.13%
iter 89: loss 1.2341, time 26.53ms, mfu 0.13%
iter 90: loss 1.2367, time 24.65ms, mfu 0.13%
iter 91: loss 1.2204, time 24.36ms, mfu 0.13%
iter 92: loss 1.2264, time 23.43ms, mfu 0.13%
iter 93: loss 1.2380, time 22.89ms, mfu 0.13%
