step 0: train loss 2.8028, val loss 2.8002
iter 0: loss 2.8026, time 2070.42ms, mfu -100.00%
iter 1: loss 2.7538, time 45.63ms, mfu -100.00%
iter 2: loss 2.6500, time 26.26ms, mfu -100.00%
iter 3: loss 2.5353, time 25.40ms, mfu -100.00%
iter 4: loss 2.4007, time 26.70ms, mfu -100.00%
iter 5: loss 2.3002, time 25.16ms, mfu 0.20%
iter 6: loss 2.2179, time 25.91ms, mfu 0.20%
iter 7: loss 2.1631, time 26.34ms, mfu 0.20%
iter 8: loss 2.1166, time 28.35ms, mfu 0.19%
iter 9: loss 2.0862, time 26.41ms, mfu 0.19%
iter 10: loss 2.0363, time 26.26ms, mfu 0.19%
iter 11: loss 1.9725, time 25.50ms, mfu 0.19%
iter 12: loss 1.8906, time 26.91ms, mfu 0.19%
iter 13: loss 1.8073, time 25.54ms, mfu 0.19%
iter 14: loss 1.7703, time 26.06ms, mfu 0.19%
iter 15: loss 1.7322, time 26.89ms, mfu 0.19%
iter 16: loss 1.6962, time 25.70ms, mfu 0.19%
iter 17: loss 1.6489, time 25.54ms, mfu 0.19%
iter 18: loss 1.6205, time 26.12ms, mfu 0.19%
iter 19: loss 1.6025, time 26.21ms, mfu 0.19%
iter 20: loss 1.5908, time 25.77ms, mfu 0.19%
iter 21: loss 1.5660, time 25.07ms, mfu 0.19%
iter 22: loss 1.5530, time 26.11ms, mfu 0.19%
iter 23: loss 1.5465, time 25.44ms, mfu 0.19%
iter 24: loss 1.5225, time 31.01ms, mfu 0.19%
iter 25: loss 1.5124, time 24.43ms, mfu 0.19%
iter 26: loss 1.4943, time 25.44ms, mfu 0.19%
iter 27: loss 1.4819, time 25.61ms, mfu 0.19%
iter 28: loss 1.4740, time 25.79ms, mfu 0.19%
iter 29: loss 1.4519, time 25.77ms, mfu 0.19%
iter 30: loss 1.4376, time 26.12ms, mfu 0.19%
iter 31: loss 1.4349, time 27.56ms, mfu 0.19%
iter 32: loss 1.4208, time 25.05ms, mfu 0.19%
iter 33: loss 1.4107, time 26.33ms, mfu 0.19%
iter 34: loss 1.3941, time 26.67ms, mfu 0.19%
iter 35: loss 1.3909, time 25.37ms, mfu 0.19%
iter 36: loss 1.3843, time 30.88ms, mfu 0.19%
iter 37: loss 1.3688, time 25.48ms, mfu 0.19%
iter 38: loss 1.3647, time 25.97ms, mfu 0.19%
iter 39: loss 1.3599, time 25.42ms, mfu 0.19%
iter 40: loss 1.3520, time 25.69ms, mfu 0.19%
iter 41: loss 1.3395, time 26.15ms, mfu 0.19%
iter 42: loss 1.3450, time 25.43ms, mfu 0.19%
iter 43: loss 1.3410, time 25.91ms, mfu 0.19%
iter 44: loss 1.3305, time 25.40ms, mfu 0.19%
iter 45: loss 1.3292, time 27.25ms, mfu 0.19%
iter 46: loss 1.3261, time 25.60ms, mfu 0.19%
iter 47: loss 1.3152, time 26.14ms, mfu 0.19%
iter 48: loss 1.3222, time 29.20ms, mfu 0.19%
iter 49: loss 1.3196, time 25.51ms, mfu 0.19%
iter 50: loss 1.3055, time 26.76ms, mfu 0.19%
iter 51: loss 1.3164, time 25.09ms, mfu 0.19%
iter 52: loss 1.3083, time 26.69ms, mfu 0.19%
iter 53: loss 1.2976, time 26.78ms, mfu 0.19%
iter 54: loss 1.2955, time 26.22ms, mfu 0.19%
iter 55: loss 1.2940, time 25.76ms, mfu 0.19%
iter 56: loss 1.2931, time 25.37ms, mfu 0.19%
iter 57: loss 1.2953, time 26.18ms, mfu 0.19%
iter 58: loss 1.2819, time 25.45ms, mfu 0.19%
iter 59: loss 1.2737, time 26.10ms, mfu 0.19%
iter 60: loss 1.2730, time 25.89ms, mfu 0.19%
iter 61: loss 1.3005, time 26.36ms, mfu 0.19%
iter 62: loss 1.2735, time 26.52ms, mfu 0.19%
iter 63: loss 1.2879, time 26.02ms, mfu 0.19%
iter 64: loss 1.2641, time 25.32ms, mfu 0.19%
iter 65: loss 1.2695, time 25.88ms, mfu 0.19%
iter 66: loss 1.2615, time 26.01ms, mfu 0.19%
iter 67: loss 1.2504, time 25.42ms, mfu 0.19%
iter 68: loss 1.2522, time 25.81ms, mfu 0.19%
iter 69: loss 1.2601, time 26.10ms, mfu 0.19%
iter 70: loss 1.2434, time 26.08ms, mfu 0.19%
iter 71: loss 1.2415, time 25.67ms, mfu 0.19%
iter 72: loss 1.2612, time 26.04ms, mfu 0.19%
iter 73: loss 1.2436, time 30.14ms, mfu 0.19%
iter 74: loss 1.2508, time 24.99ms, mfu 0.19%
iter 75: loss 1.2408, time 25.86ms, mfu 0.19%
iter 76: loss 1.2529, time 25.39ms, mfu 0.19%
iter 77: loss 1.2545, time 25.64ms, mfu 0.19%
iter 78: loss 1.2411, time 26.83ms, mfu 0.19%
iter 79: loss 1.2270, time 24.90ms, mfu 0.19%
iter 80: loss 1.2413, time 26.00ms, mfu 0.19%
iter 81: loss 1.2288, time 25.36ms, mfu 0.19%
iter 82: loss 1.2241, time 26.47ms, mfu 0.19%
iter 83: loss 1.2197, time 26.37ms, mfu 0.19%
iter 84: loss 1.2309, time 25.32ms, mfu 0.19%
iter 85: loss 1.2119, time 26.09ms, mfu 0.19%
iter 86: loss 1.2468, time 25.69ms, mfu 0.19%
iter 87: loss 1.2227, time 25.85ms, mfu 0.19%
iter 88: loss 1.2002, time 26.71ms, mfu 0.19%
iter 89: loss 1.2418, time 27.58ms, mfu 0.19%
iter 90: loss 1.2560, time 25.98ms, mfu 0.19%
iter 91: loss 1.2146, time 25.78ms, mfu 0.19%
iter 92: loss 1.2173, time 27.44ms, mfu 0.19%
iter 93: loss 1.2147, time 25.98ms, mfu 0.19%
iter 94: loss 1.2353, time 26.23ms, mfu 0.19%
iter 95: loss 1.2039, time 25.50ms, mfu 0.19%
iter 96: loss 1.2275, time 34.12ms, mfu 0.19%
iter 97: loss 1.2116, time 27.32ms, mfu 0.18%
iter 98: loss 1.2114, time 30.08ms, mfu 0.18%
iter 99: loss 1.1972, time 28.63ms, mfu 0.18%
step 100: train loss 1.2145, val loss 1.2149
saving checkpoint to out/reverse
iter 100: loss 1.2099, time 479.10ms, mfu 0.16%
iter 101: loss 1.1933, time 25.29ms, mfu 0.17%
iter 102: loss 1.1818, time 25.37ms, mfu 0.17%
iter 103: loss 1.2165, time 25.74ms, mfu 0.17%
iter 104: loss 1.2043, time 25.47ms, mfu 0.17%
iter 105: loss 1.1805, time 26.75ms, mfu 0.18%
iter 106: loss 1.2228, time 24.72ms, mfu 0.18%
iter 107: loss 1.2345, time 25.77ms, mfu 0.18%
iter 108: loss 1.1968, time 26.17ms, mfu 0.18%
iter 109: loss 1.1921, time 25.67ms, mfu 0.18%
iter 110: loss 1.2109, time 26.08ms, mfu 0.18%
iter 111: loss 1.1979, time 25.87ms, mfu 0.18%
iter 112: loss 1.1698, time 25.58ms, mfu 0.18%
iter 113: loss 1.2119, time 28.20ms, mfu 0.18%
iter 114: loss 1.1696, time 30.31ms, mfu 0.18%
iter 115: loss 1.1778, time 24.10ms, mfu 0.18%
iter 116: loss 1.1763, time 26.09ms, mfu 0.18%
