step 0: train loss 2.8906, val loss 2.8889
iter 0: loss 2.8947, time 1868.44ms, mfu -100.00%
iter 1: loss 2.8357, time 33.33ms, mfu -100.00%
iter 2: loss 2.7380, time 22.67ms, mfu -100.00%
iter 3: loss 2.6063, time 26.45ms, mfu -100.00%
iter 4: loss 2.4509, time 23.48ms, mfu -100.00%
iter 5: loss 2.3371, time 22.02ms, mfu 0.15%
iter 6: loss 2.2494, time 21.12ms, mfu 0.15%
iter 7: loss 2.1900, time 21.76ms, mfu 0.15%
iter 8: loss 2.1367, time 21.43ms, mfu 0.15%
iter 9: loss 2.0997, time 22.80ms, mfu 0.15%
iter 10: loss 2.0631, time 22.06ms, mfu 0.15%
iter 11: loss 1.9921, time 21.63ms, mfu 0.15%
iter 12: loss 1.9013, time 21.56ms, mfu 0.15%
iter 13: loss 1.8327, time 21.61ms, mfu 0.15%
iter 14: loss 1.7967, time 21.17ms, mfu 0.15%
iter 15: loss 1.7708, time 21.62ms, mfu 0.15%
iter 16: loss 1.7252, time 21.11ms, mfu 0.15%
iter 17: loss 1.6689, time 21.79ms, mfu 0.15%
iter 18: loss 1.6602, time 21.64ms, mfu 0.15%
iter 19: loss 1.6298, time 21.22ms, mfu 0.15%
iter 20: loss 1.6055, time 24.56ms, mfu 0.15%
iter 21: loss 1.5987, time 22.51ms, mfu 0.15%
iter 22: loss 1.5765, time 21.70ms, mfu 0.15%
iter 23: loss 1.5675, time 24.67ms, mfu 0.15%
iter 24: loss 1.5487, time 26.34ms, mfu 0.14%
iter 25: loss 1.5374, time 21.64ms, mfu 0.14%
iter 26: loss 1.5168, time 21.51ms, mfu 0.14%
iter 27: loss 1.5025, time 21.31ms, mfu 0.15%
iter 28: loss 1.4923, time 21.34ms, mfu 0.15%
iter 29: loss 1.4765, time 22.23ms, mfu 0.15%
iter 30: loss 1.4563, time 21.83ms, mfu 0.15%
iter 31: loss 1.4550, time 21.45ms, mfu 0.15%
iter 32: loss 1.4446, time 21.51ms, mfu 0.15%
iter 33: loss 1.4282, time 21.94ms, mfu 0.15%
iter 34: loss 1.4264, time 22.74ms, mfu 0.15%
iter 35: loss 1.3994, time 21.03ms, mfu 0.15%
iter 36: loss 1.4107, time 20.76ms, mfu 0.15%
