step 0: train loss 2.9143, val loss 2.9149
iter 0: loss 2.9109, time 3637.60ms, mfu -100.00%
iter 1: loss 2.8675, time 57.93ms, mfu -100.00%
iter 2: loss 2.7721, time 93.25ms, mfu -100.00%
iter 3: loss 2.6449, time 73.14ms, mfu -100.00%
iter 4: loss 2.5129, time 88.85ms, mfu -100.00%
iter 5: loss 2.3886, time 89.89ms, mfu 0.16%
iter 6: loss 2.2924, time 150.21ms, mfu 0.15%
iter 7: loss 2.2172, time 78.96ms, mfu 0.16%
iter 8: loss 2.1377, time 74.98ms, mfu 0.16%
iter 9: loss 2.0541, time 97.68ms, mfu 0.16%
iter 10: loss 1.9632, time 74.45ms, mfu 0.16%
iter 11: loss 1.8853, time 81.69ms, mfu 0.16%
iter 12: loss 1.8135, time 75.95ms, mfu 0.17%
iter 13: loss 1.7661, time 78.40ms, mfu 0.17%
iter 14: loss 1.7219, time 78.27ms, mfu 0.17%
iter 15: loss 1.6688, time 76.75ms, mfu 0.17%
iter 16: loss 1.6315, time 77.46ms, mfu 0.17%
iter 17: loss 1.5913, time 76.15ms, mfu 0.18%
iter 18: loss 1.5717, time 76.23ms, mfu 0.18%
iter 19: loss 1.5368, time 74.68ms, mfu 0.18%
iter 20: loss 1.5154, time 75.87ms, mfu 0.18%
iter 21: loss 1.5031, time 76.01ms, mfu 0.18%
iter 22: loss 1.4901, time 77.13ms, mfu 0.18%
iter 23: loss 1.4658, time 76.84ms, mfu 0.18%
iter 24: loss 1.4426, time 77.77ms, mfu 0.18%
iter 25: loss 1.4327, time 78.42ms, mfu 0.18%
iter 26: loss 1.4092, time 76.61ms, mfu 0.18%
iter 27: loss 1.3975, time 75.48ms, mfu 0.18%
iter 28: loss 1.3766, time 78.32ms, mfu 0.18%
iter 29: loss 1.3619, time 76.82ms, mfu 0.19%
iter 30: loss 1.3528, time 76.06ms, mfu 0.19%
iter 31: loss 1.3313, time 79.19ms, mfu 0.19%
iter 32: loss 1.3169, time 74.61ms, mfu 0.19%
iter 33: loss 1.3029, time 76.51ms, mfu 0.19%
iter 34: loss 1.2999, time 79.42ms, mfu 0.19%
iter 35: loss 1.2792, time 74.43ms, mfu 0.19%
iter 36: loss 1.2628, time 81.28ms, mfu 0.19%
iter 37: loss 1.2546, time 85.47ms, mfu 0.18%
iter 38: loss 1.2408, time 88.13ms, mfu 0.18%
iter 39: loss 1.2273, time 89.97ms, mfu 0.18%
iter 40: loss 1.2171, time 66.35ms, mfu 0.18%
iter 41: loss 1.2096, time 80.09ms, mfu 0.18%
iter 42: loss 1.1981, time 76.88ms, mfu 0.18%
iter 43: loss 1.1888, time 76.92ms, mfu 0.18%
iter 44: loss 1.1839, time 76.96ms, mfu 0.19%
iter 45: loss 1.1809, time 76.99ms, mfu 0.19%
iter 46: loss 1.1773, time 74.71ms, mfu 0.19%
iter 47: loss 1.1642, time 74.42ms, mfu 0.19%
iter 48: loss 1.1582, time 83.62ms, mfu 0.19%
iter 49: loss 1.1491, time 74.99ms, mfu 0.19%
iter 50: loss 1.1445, time 75.84ms, mfu 0.19%
iter 51: loss 1.1434, time 76.83ms, mfu 0.19%
iter 52: loss 1.1362, time 75.12ms, mfu 0.19%
iter 53: loss 1.1289, time 75.88ms, mfu 0.19%
iter 54: loss 1.1312, time 76.05ms, mfu 0.19%
iter 55: loss 1.1308, time 80.67ms, mfu 0.19%
iter 56: loss 1.1404, time 73.35ms, mfu 0.19%
iter 57: loss 1.1165, time 75.56ms, mfu 0.19%
iter 58: loss 1.1136, time 78.39ms, mfu 0.19%
iter 59: loss 1.1179, time 87.97ms, mfu 0.19%
iter 60: loss 1.1066, time 66.25ms, mfu 0.19%
iter 61: loss 1.1144, time 76.92ms, mfu 0.19%
iter 62: loss 1.1012, time 74.58ms, mfu 0.19%
iter 63: loss 1.1054, time 77.10ms, mfu 0.19%
iter 64: loss 1.0888, time 74.02ms, mfu 0.19%
iter 65: loss 1.0833, time 75.28ms, mfu 0.19%
iter 66: loss 1.0829, time 74.81ms, mfu 0.19%
iter 67: loss 1.0807, time 76.65ms, mfu 0.19%
iter 68: loss 1.1151, time 79.35ms, mfu 0.19%
iter 69: loss 1.0945, time 74.77ms, mfu 0.19%
iter 70: loss 1.1063, time 76.82ms, mfu 0.19%
iter 71: loss 1.0803, time 75.77ms, mfu 0.19%
iter 72: loss 1.1003, time 74.12ms, mfu 0.19%
iter 73: loss 1.0889, time 75.11ms, mfu 0.19%
iter 74: loss 1.0967, time 75.69ms, mfu 0.19%
iter 75: loss 1.0777, time 74.12ms, mfu 0.19%
iter 76: loss 1.0925, time 78.05ms, mfu 0.19%
iter 77: loss 1.0842, time 75.06ms, mfu 0.19%
iter 78: loss 1.0714, time 76.10ms, mfu 0.19%
iter 79: loss 1.0676, time 75.73ms, mfu 0.19%
iter 80: loss 1.0672, time 74.94ms, mfu 0.19%
iter 81: loss 1.0815, time 78.53ms, mfu 0.19%
iter 82: loss 1.0450, time 72.71ms, mfu 0.19%
iter 83: loss 1.0755, time 75.28ms, mfu 0.19%
iter 84: loss 1.0534, time 78.67ms, mfu 0.19%
iter 85: loss 1.0388, time 73.97ms, mfu 0.19%
