step 0: train loss 2.9147, val loss 2.9150
iter 0: loss 2.9046, time 3332.77ms, mfu -100.00%
iter 1: loss 2.8672, time 60.44ms, mfu -100.00%
iter 2: loss 2.7857, time 102.62ms, mfu -100.00%
iter 3: loss 2.6725, time 83.81ms, mfu -100.00%
iter 4: loss 2.5493, time 92.25ms, mfu -100.00%
iter 5: loss 2.4332, time 93.76ms, mfu 0.15%
iter 6: loss 2.3309, time 89.15ms, mfu 0.16%
iter 7: loss 2.2526, time 90.31ms, mfu 0.16%
iter 8: loss 2.1811, time 90.51ms, mfu 0.16%
iter 9: loss 2.1138, time 89.13ms, mfu 0.16%
iter 10: loss 2.0276, time 88.86ms, mfu 0.16%
iter 11: loss 1.9471, time 90.97ms, mfu 0.16%
iter 12: loss 1.8833, time 96.49ms, mfu 0.16%
iter 13: loss 1.8204, time 149.53ms, mfu 0.15%
iter 14: loss 1.7697, time 96.65ms, mfu 0.15%
iter 15: loss 1.7282, time 78.84ms, mfu 0.15%
iter 16: loss 1.6910, time 89.91ms, mfu 0.16%
iter 17: loss 1.6476, time 355.06ms, mfu 0.14%
iter 18: loss 1.6105, time 1001.20ms, mfu 0.13%
iter 19: loss 1.5852, time 215.45ms, mfu 0.12%
iter 20: loss 1.5555, time 140.04ms, mfu 0.12%
iter 21: loss 1.5267, time 87.93ms, mfu 0.13%
iter 22: loss 1.5173, time 85.96ms, mfu 0.13%
iter 23: loss 1.4920, time 95.20ms, mfu 0.13%
iter 24: loss 1.4735, time 89.67ms, mfu 0.14%
iter 25: loss 1.4581, time 128.27ms, mfu 0.13%
iter 26: loss 1.4396, time 150.67ms, mfu 0.13%
iter 27: loss 1.4200, time 95.95ms, mfu 0.13%
iter 28: loss 1.4088, time 95.97ms, mfu 0.13%
iter 29: loss 1.3842, time 95.35ms, mfu 0.14%
iter 30: loss 1.3746, time 106.05ms, mfu 0.14%
iter 31: loss 1.3499, time 83.47ms, mfu 0.14%
iter 32: loss 1.3352, time 97.63ms, mfu 0.14%
iter 33: loss 1.3246, time 147.11ms, mfu 0.14%
iter 34: loss 1.3122, time 68.47ms, mfu 0.14%
iter 35: loss 1.2999, time 99.87ms, mfu 0.14%
iter 36: loss 1.2816, time 95.54ms, mfu 0.14%
iter 37: loss 1.2680, time 97.03ms, mfu 0.15%
iter 38: loss 1.2536, time 94.52ms, mfu 0.15%
iter 39: loss 1.2453, time 89.09ms, mfu 0.15%
iter 40: loss 1.2356, time 94.09ms, mfu 0.15%
iter 41: loss 1.2245, time 93.92ms, mfu 0.15%
iter 42: loss 1.2201, time 96.61ms, mfu 0.15%
iter 43: loss 1.1969, time 93.47ms, mfu 0.15%
iter 44: loss 1.1992, time 89.56ms, mfu 0.15%
iter 45: loss 1.1904, time 96.03ms, mfu 0.15%
iter 46: loss 1.1870, time 91.62ms, mfu 0.15%
iter 47: loss 1.1675, time 93.17ms, mfu 0.15%
iter 48: loss 1.1665, time 97.10ms, mfu 0.15%
iter 49: loss 1.1626, time 94.05ms, mfu 0.15%
iter 50: loss 1.1582, time 93.20ms, mfu 0.15%
iter 51: loss 1.1508, time 89.58ms, mfu 0.15%
iter 52: loss 1.1469, time 96.29ms, mfu 0.15%
iter 53: loss 1.1350, time 95.66ms, mfu 0.15%
iter 54: loss 1.1460, time 94.82ms, mfu 0.15%
iter 55: loss 1.1508, time 93.94ms, mfu 0.15%
iter 56: loss 1.1250, time 106.33ms, mfu 0.15%
iter 57: loss 1.1224, time 93.33ms, mfu 0.15%
iter 58: loss 1.1263, time 95.35ms, mfu 0.15%
iter 59: loss 1.1202, time 92.49ms, mfu 0.15%
iter 60: loss 1.1199, time 99.67ms, mfu 0.15%
iter 61: loss 1.1127, time 98.97ms, mfu 0.15%
iter 62: loss 1.1068, time 91.14ms, mfu 0.15%
iter 63: loss 1.1158, time 91.85ms, mfu 0.15%
iter 64: loss 1.1005, time 95.13ms, mfu 0.15%
iter 65: loss 1.1138, time 101.51ms, mfu 0.15%
iter 66: loss 1.1025, time 92.86ms, mfu 0.15%
iter 67: loss 1.1062, time 102.02ms, mfu 0.15%
iter 68: loss 1.0901, time 82.69ms, mfu 0.15%
iter 69: loss 1.0971, time 103.11ms, mfu 0.15%
iter 70: loss 1.0795, time 99.53ms, mfu 0.15%
iter 71: loss 1.0909, time 92.81ms, mfu 0.15%
iter 72: loss 1.1142, time 92.40ms, mfu 0.15%
iter 73: loss 1.0696, time 91.57ms, mfu 0.15%
iter 74: loss 1.1244, time 106.76ms, mfu 0.15%
iter 75: loss 1.0986, time 122.70ms, mfu 0.15%
iter 76: loss 1.0936, time 90.69ms, mfu 0.15%
iter 77: loss 1.0818, time 92.79ms, mfu 0.15%
iter 78: loss 1.0949, time 97.17ms, mfu 0.15%
iter 79: loss 1.0793, time 96.67ms, mfu 0.15%
iter 80: loss 1.0782, time 93.22ms, mfu 0.15%
iter 81: loss 1.1070, time 104.13ms, mfu 0.15%
iter 82: loss 1.0642, time 92.42ms, mfu 0.15%
iter 83: loss 1.0947, time 92.18ms, mfu 0.15%
