step 0: train loss 2.9146, val loss 2.9146
iter 0: loss 2.9131, time 3461.23ms, mfu -100.00%
iter 1: loss 2.8693, time 67.14ms, mfu -100.00%
iter 2: loss 2.7873, time 91.91ms, mfu -100.00%
iter 3: loss 2.6803, time 90.27ms, mfu -100.00%
iter 4: loss 2.5506, time 91.61ms, mfu -100.00%
iter 5: loss 2.4317, time 89.53ms, mfu 0.16%
iter 6: loss 2.3338, time 88.23ms, mfu 0.16%
iter 7: loss 2.2549, time 91.30ms, mfu 0.16%
iter 8: loss 2.1839, time 92.66ms, mfu 0.16%
iter 9: loss 2.1137, time 90.21ms, mfu 0.16%
iter 10: loss 2.0390, time 93.73ms, mfu 0.16%
iter 11: loss 1.9527, time 90.97ms, mfu 0.16%
iter 12: loss 1.8792, time 92.57ms, mfu 0.16%
iter 13: loss 1.8222, time 90.48ms, mfu 0.16%
iter 14: loss 1.7749, time 92.57ms, mfu 0.16%
iter 15: loss 1.7346, time 92.96ms, mfu 0.16%
iter 16: loss 1.6951, time 89.55ms, mfu 0.16%
iter 17: loss 1.6441, time 90.52ms, mfu 0.16%
iter 18: loss 1.6190, time 90.01ms, mfu 0.16%
iter 19: loss 1.5888, time 88.97ms, mfu 0.16%
iter 20: loss 1.5560, time 100.82ms, mfu 0.16%
iter 21: loss 1.5410, time 82.07ms, mfu 0.16%
iter 22: loss 1.5214, time 96.33ms, mfu 0.16%
iter 23: loss 1.5010, time 89.78ms, mfu 0.16%
iter 24: loss 1.4785, time 107.53ms, mfu 0.16%
iter 25: loss 1.4579, time 80.74ms, mfu 0.16%
iter 26: loss 1.4478, time 89.52ms, mfu 0.16%
iter 27: loss 1.4309, time 91.90ms, mfu 0.16%
iter 28: loss 1.4078, time 93.71ms, mfu 0.16%
iter 29: loss 1.3930, time 86.81ms, mfu 0.16%
iter 30: loss 1.3735, time 91.25ms, mfu 0.16%
iter 31: loss 1.3587, time 90.91ms, mfu 0.16%
iter 32: loss 1.3421, time 93.19ms, mfu 0.16%
iter 33: loss 1.3287, time 91.68ms, mfu 0.16%
iter 34: loss 1.3133, time 95.74ms, mfu 0.16%
iter 35: loss 1.2935, time 91.67ms, mfu 0.16%
iter 36: loss 1.2871, time 89.80ms, mfu 0.16%
iter 37: loss 1.2741, time 90.42ms, mfu 0.16%
iter 38: loss 1.2617, time 90.85ms, mfu 0.16%
iter 39: loss 1.2533, time 92.90ms, mfu 0.16%
iter 40: loss 1.2414, time 89.33ms, mfu 0.16%
iter 41: loss 1.2363, time 95.57ms, mfu 0.16%
iter 42: loss 1.2219, time 98.61ms, mfu 0.16%
iter 43: loss 1.2096, time 117.82ms, mfu 0.15%
iter 44: loss 1.2032, time 106.92ms, mfu 0.15%
iter 45: loss 1.1947, time 92.74ms, mfu 0.15%
iter 46: loss 1.1842, time 96.77ms, mfu 0.15%
iter 47: loss 1.1791, time 100.88ms, mfu 0.15%
iter 48: loss 1.1803, time 87.54ms, mfu 0.15%
iter 49: loss 1.1643, time 91.46ms, mfu 0.15%
iter 50: loss 1.1745, time 436.79ms, mfu 0.14%
iter 51: loss 1.1593, time 105.42ms, mfu 0.14%
iter 52: loss 1.1486, time 80.03ms, mfu 0.15%
iter 53: loss 1.1566, time 116.49ms, mfu 0.14%
iter 54: loss 1.1372, time 98.61ms, mfu 0.14%
iter 55: loss 1.1498, time 317.37ms, mfu 0.13%
iter 56: loss 1.1378, time 98.87ms, mfu 0.13%
iter 57: loss 1.1456, time 183.62ms, mfu 0.13%
iter 58: loss 1.1304, time 109.94ms, mfu 0.13%
iter 59: loss 1.1331, time 126.42ms, mfu 0.13%
iter 60: loss 1.1354, time 95.55ms, mfu 0.13%
iter 61: loss 1.1268, time 97.98ms, mfu 0.13%
iter 62: loss 1.1196, time 95.58ms, mfu 0.13%
iter 63: loss 1.1274, time 94.20ms, mfu 0.14%
iter 64: loss 1.1127, time 96.87ms, mfu 0.14%
iter 65: loss 1.1164, time 94.64ms, mfu 0.14%
iter 66: loss 1.1088, time 92.07ms, mfu 0.14%
iter 67: loss 1.1014, time 96.28ms, mfu 0.14%
iter 68: loss 1.1034, time 88.93ms, mfu 0.14%
iter 69: loss 1.1167, time 89.75ms, mfu 0.15%
