step 0: train loss 2.8338, val loss 2.8327
iter 0: loss 2.8323, time 3573.06ms, mfu -100.00%
iter 1: loss 2.7201, time 157.89ms, mfu -100.00%
iter 2: loss 2.5184, time 129.06ms, mfu -100.00%
iter 3: loss 2.3278, time 140.52ms, mfu -100.00%
iter 4: loss 2.1881, time 125.98ms, mfu -100.00%
iter 5: loss 2.0930, time 141.50ms, mfu 0.05%
iter 6: loss 2.0263, time 147.67ms, mfu 0.05%
iter 7: loss 1.9430, time 167.27ms, mfu 0.05%
iter 8: loss 1.8185, time 144.48ms, mfu 0.05%
iter 9: loss 1.7407, time 139.66ms, mfu 0.05%
iter 10: loss 1.7090, time 217.11ms, mfu 0.05%
iter 11: loss 1.6653, time 302.83ms, mfu 0.04%
iter 12: loss 1.6200, time 177.44ms, mfu 0.04%
iter 13: loss 1.5940, time 192.76ms, mfu 0.04%
iter 14: loss 1.5613, time 221.66ms, mfu 0.04%
iter 15: loss 1.5429, time 198.96ms, mfu 0.04%
iter 16: loss 1.5196, time 444.71ms, mfu 0.04%
iter 17: loss 1.5015, time 312.76ms, mfu 0.04%
iter 18: loss 1.4759, time 174.06ms, mfu 0.04%
iter 19: loss 1.4576, time 160.51ms, mfu 0.04%
iter 20: loss 1.4471, time 133.82ms, mfu 0.04%
iter 21: loss 1.4239, time 177.05ms, mfu 0.04%
iter 22: loss 1.4032, time 173.15ms, mfu 0.04%
iter 23: loss 1.3974, time 165.07ms, mfu 0.04%
iter 24: loss 1.3850, time 161.08ms, mfu 0.04%
iter 25: loss 1.3596, time 136.65ms, mfu 0.04%
iter 26: loss 1.3509, time 130.32ms, mfu 0.04%
iter 27: loss 1.3409, time 149.88ms, mfu 0.04%
iter 28: loss 1.3313, time 123.47ms, mfu 0.04%
iter 29: loss 1.3297, time 201.08ms, mfu 0.04%
iter 30: loss 1.3117, time 260.07ms, mfu 0.04%
iter 31: loss 1.3103, time 230.69ms, mfu 0.04%
iter 32: loss 1.3012, time 506.87ms, mfu 0.04%
iter 33: loss 1.2956, time 141.52ms, mfu 0.04%
iter 34: loss 1.2898, time 172.30ms, mfu 0.04%
iter 35: loss 1.2824, time 267.20ms, mfu 0.04%
iter 36: loss 1.2829, time 540.43ms, mfu 0.03%
iter 37: loss 1.2881, time 164.82ms, mfu 0.03%
iter 38: loss 1.2807, time 135.76ms, mfu 0.04%
iter 39: loss 1.2708, time 119.34ms, mfu 0.04%
iter 40: loss 1.2692, time 133.58ms, mfu 0.04%
iter 41: loss 1.2746, time 138.79ms, mfu 0.04%
iter 42: loss 1.2645, time 134.54ms, mfu 0.04%
iter 43: loss 1.2566, time 134.47ms, mfu 0.04%
iter 44: loss 1.2579, time 138.15ms, mfu 0.04%
iter 45: loss 1.2894, time 141.90ms, mfu 0.04%
iter 46: loss 1.2799, time 145.67ms, mfu 0.04%
iter 47: loss 1.2709, time 114.48ms, mfu 0.05%
iter 48: loss 1.2655, time 131.92ms, mfu 0.05%
iter 49: loss 1.2532, time 195.13ms, mfu 0.04%
iter 50: loss 1.2604, time 320.94ms, mfu 0.04%
iter 51: loss 1.2553, time 214.20ms, mfu 0.04%
iter 52: loss 1.2596, time 142.29ms, mfu 0.04%
iter 53: loss 1.2488, time 128.66ms, mfu 0.04%
iter 54: loss 1.2360, time 140.76ms, mfu 0.04%
iter 55: loss 1.2471, time 164.98ms, mfu 0.04%
iter 56: loss 1.2476, time 132.33ms, mfu 0.04%
iter 57: loss 1.2421, time 123.80ms, mfu 0.04%
iter 58: loss 1.2389, time 135.06ms, mfu 0.05%
iter 59: loss 1.2388, time 120.28ms, mfu 0.05%
iter 60: loss 1.2578, time 124.59ms, mfu 0.05%
iter 61: loss 1.2431, time 127.12ms, mfu 0.05%
iter 62: loss 1.2964, time 126.83ms, mfu 0.05%
iter 63: loss 1.2609, time 193.40ms, mfu 0.05%
iter 64: loss 1.2562, time 518.53ms, mfu 0.04%
iter 65: loss 1.2831, time 312.94ms, mfu 0.04%
iter 66: loss 1.3274, time 192.12ms, mfu 0.04%
iter 67: loss 1.2883, time 209.89ms, mfu 0.04%
iter 68: loss 1.2576, time 219.89ms, mfu 0.04%
iter 69: loss 1.2651, time 191.43ms, mfu 0.04%
iter 70: loss 1.2515, time 180.14ms, mfu 0.04%
iter 71: loss 1.2504, time 178.44ms, mfu 0.04%
iter 72: loss 1.2461, time 156.62ms, mfu 0.04%
iter 73: loss 1.2503, time 195.73ms, mfu 0.04%
iter 74: loss 1.2466, time 134.31ms, mfu 0.04%
iter 75: loss 1.2344, time 166.84ms, mfu 0.04%
iter 76: loss 1.2620, time 130.53ms, mfu 0.04%
iter 77: loss 1.2593, time 151.21ms, mfu 0.04%
iter 78: loss 1.3089, time 133.18ms, mfu 0.04%
iter 79: loss 1.2842, time 121.17ms, mfu 0.04%
iter 80: loss 1.2636, time 165.79ms, mfu 0.04%
iter 81: loss 1.2794, time 185.52ms, mfu 0.04%
iter 82: loss 1.2816, time 190.13ms, mfu 0.04%
iter 83: loss 1.2708, time 175.44ms, mfu 0.04%
