step 15600: train loss 0.7049, val loss 0.7058
iter 15600: loss 0.7164, time 1595.18ms, mfu -100.00%
iter 15601: loss 0.6903, time 45.18ms, mfu -100.00%
iter 15602: loss 0.6955, time 30.46ms, mfu -100.00%
iter 15603: loss 0.7001, time 28.85ms, mfu -100.00%
iter 15604: loss 0.6976, time 28.33ms, mfu -100.00%
iter 15605: loss 0.7078, time 28.29ms, mfu 0.11%
iter 15606: loss 0.6935, time 29.21ms, mfu 0.11%
iter 15607: loss 0.6970, time 31.92ms, mfu 0.11%
iter 15608: loss 0.7200, time 34.34ms, mfu 0.11%
iter 15609: loss 0.7033, time 33.49ms, mfu 0.11%
iter 15610: loss 0.7073, time 30.14ms, mfu 0.11%
iter 15611: loss 0.6857, time 33.12ms, mfu 0.11%
iter 15612: loss 0.7106, time 31.76ms, mfu 0.11%
iter 15613: loss 0.7527, time 28.76ms, mfu 0.11%
iter 15614: loss 0.7270, time 28.44ms, mfu 0.11%
iter 15615: loss 0.7118, time 30.12ms, mfu 0.11%
iter 15616: loss 0.6987, time 28.91ms, mfu 0.11%
iter 15617: loss 0.7162, time 29.04ms, mfu 0.11%
iter 15618: loss 0.6916, time 30.05ms, mfu 0.11%
iter 15619: loss 0.6947, time 28.55ms, mfu 0.11%
iter 15620: loss 0.7145, time 29.40ms, mfu 0.11%
iter 15621: loss 0.7193, time 28.68ms, mfu 0.11%
iter 15622: loss 0.7182, time 28.79ms, mfu 0.11%
iter 15623: loss 0.7068, time 27.94ms, mfu 0.11%
iter 15624: loss 0.7090, time 28.55ms, mfu 0.11%
iter 15625: loss 0.7033, time 28.79ms, mfu 0.11%
iter 15626: loss 0.7003, time 28.20ms, mfu 0.11%
iter 15627: loss 0.6827, time 29.62ms, mfu 0.11%
iter 15628: loss 0.7121, time 28.64ms, mfu 0.11%
iter 15629: loss 0.7105, time 30.34ms, mfu 0.11%
iter 15630: loss 0.7277, time 31.57ms, mfu 0.11%
iter 15631: loss 0.7113, time 29.08ms, mfu 0.11%
iter 15632: loss 0.7020, time 28.50ms, mfu 0.11%
iter 15633: loss 0.7120, time 28.61ms, mfu 0.11%
