step 0: train loss 2.8906, val loss 2.8889
iter 0: loss 2.8947, time 2127.81ms, mfu -100.00%
iter 1: loss 2.8357, time 66.06ms, mfu -100.00%
iter 2: loss 2.7380, time 51.25ms, mfu -100.00%
iter 3: loss 2.6063, time 47.04ms, mfu -100.00%
iter 4: loss 2.4509, time 33.11ms, mfu -100.00%
iter 5: loss 2.3371, time 22.73ms, mfu 0.14%
iter 6: loss 2.2494, time 28.41ms, mfu 0.14%
iter 7: loss 2.1900, time 22.68ms, mfu 0.14%
iter 8: loss 2.1367, time 35.84ms, mfu 0.13%
iter 9: loss 2.0997, time 32.70ms, mfu 0.13%
iter 10: loss 2.0631, time 24.01ms, mfu 0.13%
iter 11: loss 1.9921, time 28.71ms, mfu 0.13%
iter 12: loss 1.9013, time 21.57ms, mfu 0.13%
iter 13: loss 1.8327, time 21.85ms, mfu 0.13%
iter 14: loss 1.7967, time 22.03ms, mfu 0.13%
iter 15: loss 1.7708, time 22.40ms, mfu 0.14%
iter 16: loss 1.7252, time 21.12ms, mfu 0.14%
iter 17: loss 1.6689, time 20.71ms, mfu 0.14%
iter 18: loss 1.6602, time 21.95ms, mfu 0.14%
iter 19: loss 1.6298, time 22.86ms, mfu 0.14%
iter 20: loss 1.6055, time 26.07ms, mfu 0.14%
iter 21: loss 1.5987, time 25.02ms, mfu 0.14%
iter 22: loss 1.5765, time 21.32ms, mfu 0.14%
iter 23: loss 1.5675, time 20.73ms, mfu 0.14%
iter 24: loss 1.5487, time 20.15ms, mfu 0.14%
iter 25: loss 1.5374, time 20.50ms, mfu 0.14%
iter 26: loss 1.5168, time 20.28ms, mfu 0.15%
iter 27: loss 1.5025, time 20.23ms, mfu 0.15%
iter 28: loss 1.4923, time 20.67ms, mfu 0.15%
iter 29: loss 1.4765, time 23.32ms, mfu 0.15%
iter 30: loss 1.4563, time 20.93ms, mfu 0.15%
iter 31: loss 1.4550, time 21.79ms, mfu 0.15%
iter 32: loss 1.4446, time 22.08ms, mfu 0.15%
iter 33: loss 1.4282, time 21.42ms, mfu 0.15%
iter 34: loss 1.4264, time 21.10ms, mfu 0.15%
iter 35: loss 1.3994, time 30.04ms, mfu 0.14%
iter 36: loss 1.4107, time 27.80ms, mfu 0.14%
iter 37: loss 1.3855, time 24.04ms, mfu 0.14%
iter 38: loss 1.3896, time 23.26ms, mfu 0.14%
iter 39: loss 1.3746, time 23.05ms, mfu 0.14%
iter 40: loss 1.3745, time 23.89ms, mfu 0.14%
iter 41: loss 1.3649, time 28.24ms, mfu 0.14%
iter 42: loss 1.3531, time 43.56ms, mfu 0.13%
iter 43: loss 1.3476, time 48.05ms, mfu 0.13%
iter 44: loss 1.3341, time 21.40ms, mfu 0.13%
