step 4800: train loss 0.8326, val loss 0.8272
saving checkpoint to out/addition_ft
iter 4800: loss 0.8150, time 1953.83ms, mfu -100.00%
iter 4801: loss 0.8528, time 39.94ms, mfu -100.00%
iter 4802: loss 0.9093, time 29.74ms, mfu -100.00%
iter 4803: loss 0.8830, time 28.83ms, mfu -100.00%
iter 4804: loss 0.8655, time 30.15ms, mfu -100.00%
iter 4805: loss 0.9775, time 29.15ms, mfu 0.11%
iter 4806: loss 0.8887, time 28.79ms, mfu 0.11%
iter 4807: loss 0.8950, time 28.88ms, mfu 0.11%
iter 4808: loss 0.8836, time 29.43ms, mfu 0.11%
iter 4809: loss 0.8981, time 28.93ms, mfu 0.11%
iter 4810: loss 0.9111, time 28.81ms, mfu 0.11%
iter 4811: loss 0.9129, time 28.49ms, mfu 0.11%
iter 4812: loss 0.9034, time 28.95ms, mfu 0.11%
iter 4813: loss 0.9069, time 29.64ms, mfu 0.11%
iter 4814: loss 0.9251, time 28.84ms, mfu 0.11%
iter 4815: loss 0.8978, time 28.88ms, mfu 0.11%
iter 4816: loss 0.9024, time 29.25ms, mfu 0.11%
iter 4817: loss 0.8981, time 28.73ms, mfu 0.11%
iter 4818: loss 0.9077, time 28.29ms, mfu 0.11%
iter 4819: loss 0.9012, time 30.34ms, mfu 0.11%
iter 4820: loss 0.8793, time 32.96ms, mfu 0.11%
iter 4821: loss 0.8984, time 209.28ms, mfu 0.10%
iter 4822: loss 0.8826, time 154.65ms, mfu 0.09%
iter 4823: loss 0.9037, time 156.45ms, mfu 0.09%
iter 4824: loss 0.8942, time 107.53ms, mfu 0.08%
iter 4825: loss 0.8941, time 98.77ms, mfu 0.08%
iter 4826: loss 0.8987, time 45.42ms, mfu 0.07%
iter 4827: loss 0.9189, time 70.49ms, mfu 0.07%
iter 4828: loss 0.8888, time 98.62ms, mfu 0.07%
iter 4829: loss 0.9000, time 66.12ms, mfu 0.07%
iter 4830: loss 0.8858, time 39.78ms, mfu 0.07%
iter 4831: loss 0.8959, time 95.16ms, mfu 0.06%
iter 4832: loss 0.8935, time 93.78ms, mfu 0.06%
iter 4833: loss 0.8863, time 77.91ms, mfu 0.06%
iter 4834: loss 0.9063, time 38.33ms, mfu 0.06%
iter 4835: loss 0.8873, time 32.07ms, mfu 0.07%
iter 4836: loss 0.9177, time 31.21ms, mfu 0.07%
iter 4837: loss 0.8940, time 37.00ms, mfu 0.07%
iter 4838: loss 0.8959, time 42.32ms, mfu 0.07%
iter 4839: loss 0.8838, time 50.72ms, mfu 0.07%
iter 4840: loss 0.8892, time 36.40ms, mfu 0.07%
iter 4841: loss 0.8979, time 37.31ms, mfu 0.07%
iter 4842: loss 0.8825, time 43.53ms, mfu 0.07%
iter 4843: loss 0.8890, time 93.12ms, mfu 0.07%
iter 4844: loss 0.8804, time 85.91ms, mfu 0.07%
iter 4845: loss 0.8965, time 57.95ms, mfu 0.07%
iter 4846: loss 0.8853, time 63.13ms, mfu 0.06%
iter 4847: loss 0.8763, time 37.29ms, mfu 0.07%
iter 4848: loss 0.8949, time 38.94ms, mfu 0.07%
iter 4849: loss 0.8939, time 35.41ms, mfu 0.07%
iter 4850: loss 0.8838, time 60.13ms, mfu 0.07%
